race_id,split,year,event,session,expected_driver_count,fastf1_participant_count,car_rows,position_rows,driver_hours_car,driver_hours_position,drivers_with_telemetry_coverage_pass,telemetry_coverage_status,source_retrieval_status,error,fastf1_missing_expected_drivers
2018:Chinese Grand Prix:Race,train,2018,Chinese Grand Prix,Race,20,20,475304,387297,31.95659527777778,31.95565611111111,20,PASS,SUCCESS,,
2019:Australian Grand Prix:Race,train,2019,Australian Grand Prix,Race,20,20,398270,317300,26.180329722222226,26.180069444444445,20,PASS,SUCCESS,,
2020:Hungarian Grand Prix:Race,train,2020,Hungarian Grand Prix,Race,20,20,460025,509488,31.0398225,31.04105333333333,20,PASS,SUCCESS,,
2018:Azerbaijan Grand Prix:Race,train,2018,Azerbaijan Grand Prix,Race,20,20,427514,348130,28.72493916666667,28.723529166666665,20,PASS,SUCCESS,,
2018:Canadian Grand Prix:Race,train,2018,Canadian Grand Prix,Race,20,20,399509,326210,26.916333611111114,26.9150325,20,PASS,SUCCESS,,
2018:French Grand Prix:Race,train,2018,French Grand Prix,Race,20,20,396139,322496,26.611630277777778,26.61236388888889,20,PASS,SUCCESS,,
2018:Austrian Grand Prix:Race,train,2018,Austrian Grand Prix,Race,20,20,366595,297614,24.55596166666667,24.555882222222223,20,PASS,SUCCESS,,
2018:British Grand Prix:Race,train,2018,British Grand Prix,Race,20,20,385086,307994,25.411936666666666,25.412009166666667,20,PASS,SUCCESS,,
2018:German Grand Prix:Race,train,2018,German Grand Prix,Race,20,20,439177,351162,28.975778888888886,28.975600277777776,20,PASS,SUCCESS,,
2018:Hungarian Grand Prix:Race,train,2018,Hungarian Grand Prix,Race,20,20,441752,353489,29.166370833333332,29.166155833333335,20,PASS,SUCCESS,,
2018:Belgian Grand Prix:Race,train,2018,Belgian Grand Prix,Race,20,20,334113,273116,22.531744722222225,22.532632500000002,20,PASS,SUCCESS,,
2018:Italian Grand Prix:Race,train,2018,Italian Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`,
2018:Japanese Grand Prix:Race,train,2018,Japanese Grand Prix,Race,20,20,405161,332199,27.4067225,27.40743861111111,20,PASS,SUCCESS,,
2018:Mexican Grand Prix:Race,train,2018,Mexican Grand Prix,Race,20,20,438984,359641,29.671386388888887,29.670683888888888,20,PASS,SUCCESS,,
2018:Brazilian Grand Prix:Race,train,2018,Brazilian Grand Prix,Race,20,20,414062,332439,27.426511666666666,27.426103055555554,20,PASS,SUCCESS,,
2018:Abu Dhabi Grand Prix:Race,train,2018,Abu Dhabi Grand Prix,Race,20,20,438984,353374,29.154449166666666,29.153379722222223,20,PASS,SUCCESS,,
2019:Bahrain Grand Prix:Race,train,2019,Bahrain Grand Prix,Race,20,20,458170,366254,30.21748527777778,30.217898888888886,20,PASS,SUCCESS,,
2019:Chinese Grand Prix:Race,train,2019,Chinese Grand Prix,Race,20,20,444546,355298,29.315965000000002,29.314930833333335,20,PASS,SUCCESS,,
2019:Azerbaijan Grand Prix:Race,train,2019,Azerbaijan Grand Prix,Race,20,20,430129,352215,29.060166111111112,29.06012722222222,20,PASS,SUCCESS,,
2019:Canadian Grand Prix:Race,train,2019,Canadian Grand Prix,Race,20,20,421573,344875,28.454872777777776,28.453690555555553,20,PASS,SUCCESS,,
2019:French Grand Prix:Race,train,2019,French Grand Prix,Race,20,20,425219,341213,28.160110555555555,28.159664166666666,20,PASS,SUCCESS,,
2019:Austrian Grand Prix:Race,train,2019,Austrian Grand Prix,Race,20,20,415099,332933,27.469589444444445,27.469707777777778,20,PASS,SUCCESS,,
2019:British Grand Prix:Race,train,2019,British Grand Prix,Race,20,20,366861,292815,24.160311111111113,24.159210277777778,20,PASS,SUCCESS,,
2019:German Grand Prix:Race,train,2019,German Grand Prix,Race,20,20,440547,351886,29.03195638888889,29.030738611111115,20,PASS,SUCCESS,,
2019:Hungarian Grand Prix:Race,train,2019,Hungarian Grand Prix,Race,20,20,476494,381898,31.509441944444443,31.509253333333334,20,PASS,SUCCESS,,
2019:Belgian Grand Prix:Race,train,2019,Belgian Grand Prix,Race,20,20,375646,308797,25.475617777777778,25.4752225,20,PASS,SUCCESS,,
