window_id,race_id,eligible_graph,graph_exclusion_reason,attacker_driver,target_driver_fixed,decision_session_time_sec,source_lineage_present,matched_candidate_id,supporting_event_id,event_classification,review_status
d09e1e6b9ef30d384f04,2018:Abu Dhabi Grand Prix:Race,True,,ALO,SIR,5504.361,True,,8dd142c850a714006e351602,,AUTOMATED_REVIEW_UNREVIEWED
e60f2b7ebd0e7a7ee6bc,2018:Abu Dhabi Grand Prix:Race,True,,ERI,RAI,2753.401,True,,7518804d32b11e522e6094d7,,AUTOMATED_REVIEW_UNREVIEWED
3cee234d462185e69729,2018:Abu Dhabi Grand Prix:Race,True,,GAS,SIR,5396.391,True,,329394bbcba7c66a58c8e143,,AUTOMATED_REVIEW_UNREVIEWED
c7dfcb99102ef3ca7efc,2018:Abu Dhabi Grand Prix:Race,True,,GAS,HAR,5609.084,True,,e179152512c0ab137983e08e,,AUTOMATED_REVIEW_UNREVIEWED
3e12fc7321edaf130c5c,2018:Abu Dhabi Grand Prix:Race,True,,GAS,VAN,5820.288,True,,ddf49d8960ae3f19bdb9dcc2,,AUTOMATED_REVIEW_UNREVIEWED
f07e755965ad6aa8b225,2018:Abu Dhabi Grand Prix:Race,True,,GRO,SIR,3241.751,True,,91a8051e34ae6c24495085b2,,AUTOMATED_REVIEW_UNREVIEWED
f14aca85b068b9c88cb7,2018:Abu Dhabi Grand Prix:Race,True,,GRO,VAN,5498.968,True,,eddb6ba316cb4248ccfc247e,,AUTOMATED_REVIEW_UNREVIEWED
abd3ea2119ee5a05423a,2018:Abu Dhabi Grand Prix:Race,True,,HAR,SIR,4752.455,True,,0bb2d88d89f55165e74f3ff6,,AUTOMATED_REVIEW_UNREVIEWED
6c407d1a8dbc0ec01acf,2018:Abu Dhabi Grand Prix:Race,True,,LEC,MAG,3130.995,True,,b4ab97362b46b6c662956341,,AUTOMATED_REVIEW_UNREVIEWED
7cd78d8649efe2fb5af4,2018:Abu Dhabi Grand Prix:Race,True,,LEC,ALO,4846.902,True,,,,AUTOMATED_PROXY_LINK_UNREVIEWED
b63f9bcec25acec350b8,2018:Abu Dhabi Grand Prix:Race,True,,OCO,HAR,4430.101,True,,,,AUTOMATED_PROXY_LINK_UNREVIEWED
f1f5dd6a13e1248f4437,2018:Abu Dhabi Grand Prix:Race,True,,OCO,SIR,4536.709,True,,109b0be1fefa334941b9750e,,AUTOMATED_REVIEW_UNREVIEWED
d544ae8ed7b8d896ad59,2018:Abu Dhabi Grand Prix:Race,True,,OCO,GRO,5284.806,True,,,,AUTOMATED_PROXY_LINK_UNREVIEWED
ebe94594cdafb5247fa7,2018:Abu Dhabi Grand Prix:Race,True,,OCO,VAN,5390.987,True,,52437ccd8282ebc23067c6ee,,AUTOMATED_REVIEW_UNREVIEWED
7ea9510fdcea3a8d12a6,2018:Abu Dhabi Grand Prix:Race,True,,PER,OCO,3766.663,True,,,,AUTOMATED_PROXY_LINK_UNREVIEWED
388a5602297c4b207700,2018:Abu Dhabi Grand Prix:Race,True,,RIC,VET,3642.784,True,,58cc13983a98edaf350cb089,,AUTOMATED_REVIEW_UNREVIEWED
57fd4b07998926a91053,2018:Abu Dhabi Grand Prix:Race,True,,RIC,BOT,6159.372,True,,,,AUTOMATED_PROXY_LINK_UNREVIEWED
42ba22f54be1813d3162,2018:Abu Dhabi Grand Prix:Race,True,,SAI,ERI,3554.256,True,,,,AUTOMATED_PROXY_LINK_UNREVIEWED
9deecc4ff3d5a12d8dcd,2018:Abu Dhabi Grand Prix:Race,True,,SAI,OCO,3983.686,True,,,,AUTOMATED_PROXY_LINK_UNREVIEWED
cec69026d1341b150a95,2018:Abu Dhabi Grand Prix:Race,True,,SAI,PER,4832.359,True,,,,AUTOMATED_PROXY_LINK_UNREVIEWED
793eb65e8ec2f5688cbc,2018:Abu Dhabi Grand Prix:Race,True,,VER,GRO,2750.675,True,,,,AUTOMATED_PROXY_LINK_UNREVIEWED
e60db7a2edb04ec2e072,2018:Abu Dhabi Grand Prix:Race,True,,VET,BOT,5740.471,True,,,,AUTOMATED_PROXY_LINK_UNREVIEWED
6c9c348380aae69cbc6f,2018:Austrian Grand Prix:Race,True,,ERI,SIR,2015.188,True,,88bdf353fb22dd1733b51ceb,,AUTOMATED_REVIEW_UNREVIEWED
