window_id,race_id,attacker_driver,target_driver_fixed,decision_lap,decision_session_time_sec,endpoint_lap,proposed_split,outcome_status
a59423891f0f101fd31d,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,2,2175.332,3,development_train,PROXY_NEGATIVE
919ffab5f8e5b6e35f50,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,6,2754.663,7,development_train,PROXY_NEGATIVE
7c9903f30ad04874ab43,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,9,3128.933,10,development_train,PROXY_NEGATIVE
c8eac4076a1f4befd6e6,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,10,3235.581,11,development_train,PROXY_NEGATIVE
df5ae3baa16e00e56f47,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,11,3342.79,12,development_train,PROXY_NEGATIVE
ceaa49fee91243181c59,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,12,3450.209,13,development_train,PROXY_NEGATIVE
263e457b60ef687df5ba,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,13,3557.493,14,development_train,PROXY_NEGATIVE
7807e6ef1f7dcf4de152,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,14,3665.053,15,development_train,PROXY_NEGATIVE
87b24705e4ceecb7aa5f,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,15,3772.706,16,development_train,PROXY_NEGATIVE
cfce7cd084c9e4dd6846,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,16,3880.427,17,development_train,PROXY_NEGATIVE
a106edc6be87d83cbef9,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,17,3988.062,18,development_train,PROXY_NEGATIVE
717a6812b74c0e1e62c5,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,18,4096.386,19,development_train,PROXY_NEGATIVE
24e87180dd647758e804,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,19,4204.202,20,development_train,PROXY_NEGATIVE
d31be1c9dc031f304a14,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,20,4311.836,21,development_train,PROXY_NEGATIVE
fdd5afbd36468b1ffc8e,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,21,4418.823,22,development_train,PROXY_NEGATIVE
91acd1179e4bfcb3dc96,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,22,4525.633,23,development_train,PROXY_NEGATIVE
9b5c28626a6b99d02bf4,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,23,4632.212,24,development_train,PROXY_NEGATIVE
dc6984e8e107ddb04d4c,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,24,4738.671,25,development_train,PROXY_NEGATIVE
753c1fd8f6b1398c6114,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,25,4845.576,26,development_train,PROXY_NEGATIVE
e769f6f1f49495a84380,2018:Abu Dhabi Grand Prix:Race,ALO,LEC,26,4954.464,27,development_train,PROXY_NEGATIVE
269b1903978bf3803cf9,2018:Abu Dhabi Grand Prix:Race,ALO,SIR,28,5183.536,29,development_train,PROXY_NEGATIVE
35f932f3c46a5f344df3,2018:Abu Dhabi Grand Prix:Race,ALO,SIR,29,5295.457,30,development_train,PROXY_NEGATIVE
9fef9923f2626509eb90,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,30,5399.179,31,development_train,PROXY_NEGATIVE
d09e1e6b9ef30d384f04,2018:Abu Dhabi Grand Prix:Race,ALO,SIR,31,5504.361,32,development_train,PROXY_POSITIVE
d9d49d6765af608017b0,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,32,5611.322,33,development_train,PROXY_NEGATIVE
c7a538a7bf6bdb59675c,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,34,5822.522,35,development_train,PROXY_NEGATIVE
b3f02e808615032617db,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,38,6244.47,39,development_train,PROXY_NEGATIVE
7ed3e74d083c50cce9bb,2018:Abu Dhabi Grand Prix:Race,ALO,GAS,40,6453.934,41,development_train,PROXY_NEGATIVE
738097ff61b7eebb6588,2018:Abu Dhabi Grand Prix:Race,ALO,MAG,50,7506.577,51,development_train,PROXY_NEGATIVE
092d964672491d00574e,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,2,2157.589,3,development_train,PROXY_NEGATIVE
4364bce0d5e09b17eecd,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,6,2743.829,7,development_train,PROXY_NEGATIVE
153ba5f618d6f2639269,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,17,3962.538,18,development_train,PROXY_NEGATIVE
84386343375784cb4895,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,18,4078.533,19,development_train,PROXY_NEGATIVE
f1acc01a6b3f76b163ae,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,19,4181.628,20,development_train,PROXY_NEGATIVE
e31c05003cc95b32d130,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,20,4285.243,21,development_train,PROXY_NEGATIVE
b72d634e1e1853c3761c,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,21,4389.172,22,development_train,PROXY_NEGATIVE
b39f22e2d999dcd279e8,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,22,4493.569,23,development_train,PROXY_NEGATIVE
6be328b7c600578870d0,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,23,4597.669,24,development_train,PROXY_NEGATIVE
137ee39ddb85d58550db,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,24,4701.759,25,development_train,PROXY_NEGATIVE
8221831183d72fa3d1be,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,25,4805.913,26,development_train,PROXY_NEGATIVE
51fed4c71cdd5a1efd86,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,26,4910.075,27,development_train,PROXY_NEGATIVE
424f75602d20b712778b,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,27,5014.652,28,development_train,PROXY_NEGATIVE
d93ca9cd26c3808ef8ca,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,28,5119.477,29,development_train,PROXY_NEGATIVE
81b4c0c436d638ef795d,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,29,5222.913,30,development_train,PROXY_NEGATIVE
74620288db27b0f42269,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,30,5325.942,31,development_train,PROXY_NEGATIVE
e0e46ed088cbbe4aa396,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,31,5429.1,32,development_train,PROXY_NEGATIVE
899f3f4d7eda8c127218,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,32,5532.626,33,development_train,PROXY_NEGATIVE
9c18be9096cb841513c3,2018:Abu Dhabi Grand Prix:Race,BOT,HAM,34,5738.694,35,development_train,PROXY_NEGATIVE
4cd3265b1632693f25b6,2018:Abu Dhabi Grand Prix:Race,BOT,VER,38,6157.86,39,development_train,PROXY_NEGATIVE
7aedcf1306572b69357f,2018:Abu Dhabi Grand Prix:Race,BOT,RIC,50,7419.708,51,development_train,PROXY_NEGATIVE
d478b518c397f9871b0e,2018:Abu Dhabi Grand Prix:Race,ERI,SAI,2,2172.017,3,development_train,PROXY_NEGATIVE
e60f2b7ebd0e7a7ee6bc,2018:Abu Dhabi Grand Prix:Race,ERI,RAI,6,2753.401,7,development_train,PROXY_POSITIVE
5c473d00a6d07ffa4625,2018:Abu Dhabi Grand Prix:Race,ERI,PER,9,3126.455,10,development_train,PROXY_NEGATIVE
dd7a83fb9ca9dd1e95a5,2018:Abu Dhabi Grand Prix:Race,ERI,PER,10,3232.663,11,development_train,PROXY_NEGATIVE
47a9e89ddc0b53d2fa24,2018:Abu Dhabi Grand Prix:Race,ERI,PER,11,3339.561,12,development_train,PROXY_NEGATIVE
eb06127d74e9a1ede0c3,2018:Abu Dhabi Grand Prix:Race,ERI,PER,12,3446.471,13,development_train,PROXY_NEGATIVE
b4ac241a5fa8f66de6aa,2018:Abu Dhabi Grand Prix:Race,ERI,PER,13,3553.564,14,development_train,PROXY_NEGATIVE
d588d82d9ba0382611a8,2018:Abu Dhabi Grand Prix:Race,ERI,SAI,14,3662.009,15,development_train,PROXY_NEGATIVE
369bee6dcc9858f58402,2018:Abu Dhabi Grand Prix:Race,ERI,SAI,15,3770.793,16,development_train,PROXY_NEGATIVE
99c6a62d5f2fbbe22966,2018:Abu Dhabi Grand Prix:Race,ERI,SAI,16,3878.518,17,development_train,PROXY_NEGATIVE
83be5df67399a30ec9e1,2018:Abu Dhabi Grand Prix:Race,ERI,SAI,17,3986.156,18,development_train,PROXY_NEGATIVE
9ff6e2ed6e2e67326b09,2018:Abu Dhabi Grand Prix:Race,ERI,SAI,19,4202.554,20,development_train,PROXY_NEGATIVE
2dc83ebcb716afb8d52f,2018:Abu Dhabi Grand Prix:Race,ERI,SAI,20,4309.097,21,development_train,PROXY_NEGATIVE
2934395e6d16bb8ddbd6,2018:Abu Dhabi Grand Prix:Race,ERI,SAI,21,4415.674,22,development_train,PROXY_NEGATIVE
a4f4da3fca7aa4ac71ea,2018:Abu Dhabi Grand Prix:Race,ERI,SAI,22,4522.02,23,development_train,PROXY_NEGATIVE
9d8c695b66dccd2131fa,2018:Abu Dhabi Grand Prix:Race,ERI,SAI,23,4628.097,24,development_train,PROXY_NEGATIVE
2d58ecc59596029934f7,2018:Abu Dhabi Grand Prix:Race,GAS,ERI,2,2173.198,3,development_train,PROXY_NEGATIVE
287e1b0ef2b0f887a3bd,2018:Abu Dhabi Grand Prix:Race,GAS,ERI,6,2754.05,7,development_train,PROXY_NEGATIVE
0ea7e2c32c44746225a9,2018:Abu Dhabi Grand Prix:Race,GAS,SAI,9,3128.082,10,development_train,PROXY_NEGATIVE
90d274066d5cb664e4ce,2018:Abu Dhabi Grand Prix:Race,GAS,SAI,10,3234.506,11,development_train,PROXY_NEGATIVE
cbf0eca93b0079c7df9f,2018:Abu Dhabi Grand Prix:Race,GAS,SAI,11,3341.566,12,development_train,PROXY_NEGATIVE
ec14568ee1df0ab2c2a8,2018:Abu Dhabi Grand Prix:Race,GAS,SAI,12,3448.553,13,development_train,PROXY_NEGATIVE
43eebabae276f0daff7e,2018:Abu Dhabi Grand Prix:Race,GAS,SAI,13,3555.729,14,development_train,PROXY_NEGATIVE
a67496caa970a861a2f5,2018:Abu Dhabi Grand Prix:Race,GAS,ERI,14,3663.404,15,development_train,PROXY_NEGATIVE
3da1ad8c874e65a717e3,2018:Abu Dhabi Grand Prix:Race,GAS,ERI,15,3771.682,16,development_train,PROXY_NEGATIVE
6727e98213e5f42d8870,2018:Abu Dhabi Grand Prix:Race,GAS,ERI,16,3879.396,17,development_train,PROXY_NEGATIVE
c9dcffa69032effd1f40,2018:Abu Dhabi Grand Prix:Race,GAS,ERI,17,3986.967,18,development_train,PROXY_NEGATIVE
89f908205ff19cb8c9dd,2018:Abu Dhabi Grand Prix:Race,GAS,ERI,18,4095.538,19,development_train,PROXY_NEGATIVE
d402173f32e755b03274,2018:Abu Dhabi Grand Prix:Race,GAS,ERI,19,4203.439,20,development_train,PROXY_NEGATIVE
219bb1fb905be93eea70,2018:Abu Dhabi Grand Prix:Race,GAS,ERI,20,4310.218,21,development_train,PROXY_NEGATIVE
7adef0e9df78a8cba38f,2018:Abu Dhabi Grand Prix:Race,GAS,ERI,21,4417.019,22,development_train,PROXY_NEGATIVE
efb3ef057631f6616192,2018:Abu Dhabi Grand Prix:Race,GAS,ERI,22,4523.365,23,development_train,PROXY_NEGATIVE
c4dcddcecbebf62ff19a,2018:Abu Dhabi Grand Prix:Race,GAS,ERI,23,4629.695,24,development_train,PROXY_NEGATIVE
6ec42eb075ad9d9f9c5b,2018:Abu Dhabi Grand Prix:Race,GAS,SAI,25,4843.025,26,development_train,PROXY_NEGATIVE
2ac080e462c1cc5755a0,2018:Abu Dhabi Grand Prix:Race,GAS,SAI,27,5058.407,28,development_train,PROXY_NEGATIVE
7307796ccfc940e441a9,2018:Abu Dhabi Grand Prix:Race,GAS,SAI,28,5164.793,29,development_train,PROXY_NEGATIVE
3cee234d462185e69729,2018:Abu Dhabi Grand Prix:Race,GAS,SIR,30,5396.391,31,development_train,PROXY_POSITIVE
15a96c4db78df22be3f8,2018:Abu Dhabi Grand Prix:Race,GAS,HAR,31,5503.268,32,development_train,PROXY_NEGATIVE
c7dfcb99102ef3ca7efc,2018:Abu Dhabi Grand Prix:Race,GAS,HAR,32,5609.084,33,development_train,PROXY_POSITIVE
3e12fc7321edaf130c5c,2018:Abu Dhabi Grand Prix:Race,GAS,VAN,34,5820.288,35,development_train,PROXY_POSITIVE
2bd21f24da930c07f763,2018:Abu Dhabi Grand Prix:Race,GAS,GRO,38,6241.152,39,development_train,PROXY_NEGATIVE
2a62592fa092ce4d8495,2018:Abu Dhabi Grand Prix:Race,GRO,RIC,2,2164.506,3,development_train,PROXY_NEGATIVE
09a93596cd89ec6c4f33,2018:Abu Dhabi Grand Prix:Race,GRO,RIC,6,2749.056,7,development_train,PROXY_NEGATIVE
54c8eea71c0c5b8e8929,2018:Abu Dhabi Grand Prix:Race,GRO,SIR,9,3134.716,10,development_train,PROXY_NEGATIVE
f07e755965ad6aa8b225,2018:Abu Dhabi Grand Prix:Race,GRO,SIR,10,3241.751,11,development_train,PROXY_POSITIVE
75d547a88fec0f885b54,2018:Abu Dhabi Grand Prix:Race,GRO,VAN,11,3349.626,12,development_train,PROXY_NEGATIVE
f1cd2618c1ccf89e0be4,2018:Abu Dhabi Grand Prix:Race,GRO,VAN,12,3456.85,13,development_train,PROXY_NEGATIVE
9919433c223df78c8532,2018:Abu Dhabi Grand Prix:Race,GRO,VAN,13,3564.344,14,development_train,PROXY_NEGATIVE
4a46cfd84f1e1fff83cd,2018:Abu Dhabi Grand Prix:Race,GRO,VAN,14,3672.437,15,development_train,PROXY_NEGATIVE
