model,seed,split,n,positive_count,negative_count,prevalence,average_precision,roc_auc,brier_score,log_loss,threshold_threshold,threshold_precision,threshold_recall,threshold_f1,threshold_tp,threshold_fp,threshold_fn,threshold_tn
constant,,development_train,10671,613,10058,0.057445412801049575,0.057445412801049575,0.5,0.05414543734916659,0.21987984622068357,0.057445412801049575,0.057445412801049575,1.0,0.108649415101028,613,10058,0,0
constant,,development_validation,2533,103,2430,0.04066324516383735,0.04066324516383735,0.5,0.039291386807186496,0.17292739103110444,0.057445412801049575,0.04066324516383735,1.0,0.07814871016691957,103,2430,0,0
logistic_c1,,development_train,10671,613,10058,0.057445412801049575,0.1361701639165617,0.7072788592882328,0.05222013954099145,0.2044061808167684,0.12560341787484255,0.1684322033898305,0.25938009787928223,0.20423892100192678,159,785,454,9273
logistic_c1,,development_validation,2533,103,2430,0.04066324516383735,0.08999784870644094,0.6923009309201327,0.038379627556770685,0.16109829691228733,0.12560341787484255,0.147239263803681,0.23300970873786409,0.18045112781954886,24,139,79,2291
gnn_seed_17,17,development_train,10671,613,10058,0.057445412801049575,0.3854309435911295,0.8832729386523904,0.043977865577486126,0.1602643337915826,0.30211204290390015,0.550561797752809,0.2398042414355628,0.3340909090909091,147,120,466,9938
gnn_seed_17,17,development_validation,2533,103,2430,0.04066324516383735,0.12361513222631858,0.6924887130928123,0.039326288510157396,0.18278596153709722,0.30211204290390015,0.2542372881355932,0.14563106796116504,0.18518518518518515,15,44,88,2386
gnn_seed_23,23,development_train,10671,613,10058,0.057445412801049575,0.24415568540259427,0.8271947662772883,0.04841129682889979,0.17896965354410196,0.21220846474170685,0.2890855457227139,0.3197389885807504,0.3036405886909373,196,482,417,9576
gnn_seed_23,23,development_validation,2533,103,2430,0.04066324516383735,0.1081456324715485,0.685376962723241,0.04026674997462826,0.16946035157672662,0.21220846474170685,0.14492753623188406,0.1941747572815534,0.16597510373443983,20,118,83,2312
gnn_seed_42,42,development_train,10671,613,10058,0.057445412801049575,0.3345352270296404,0.8692452454394203,0.045671066163925474,0.1640522566365946,0.1846635341644287,0.3351206434316354,0.4078303425774878,0.36791758646063283,250,496,363,9562
gnn_seed_42,42,development_validation,2533,103,2430,0.04066324516383735,0.12760248880353492,0.6892724439650006,0.03875358886809885,0.1660807449189008,0.1846635341644287,0.17757009345794392,0.18446601941747573,0.18095238095238092,19,88,84,2342
constant,,development_test,2200,106,2094,0.04818181818181818,0.04818181818181818,0.5,0.045946144763781845,0.1939625439593566,0.057445412801049575,0.04818181818181818,1.0,0.0919340849956635,106,2094,0,0
logistic_c1,,development_test,2200,106,2094,0.04818181818181818,0.07760780363142826,0.6318051575931232,0.045775746911450574,0.18859569421645414,0.12560341787484255,0.08759124087591241,0.11320754716981132,0.09876543209876543,12,125,94,1969
gnn_seed_17,17,development_test,2200,106,2094,0.04818181818181818,0.0996796896230693,0.667189273936314,0.047411415076514835,0.21929386325882186,0.30211204290390015,0.17073170731707318,0.0660377358490566,0.09523809523809523,7,34,99,2060
gnn_seed_23,23,development_test,2200,106,2094,0.04818181818181818,0.0885484470161785,0.6527454902596818,0.04929438161478706,0.1998004131682408,0.21220846474170685,0.08629441624365482,0.16037735849056603,0.1122112211221122,17,180,89,1914
gnn_seed_42,42,development_test,2200,106,2094,0.04818181818181818,0.10433820299403382,0.7008568957128184,0.04596526598472098,0.19036481652666773,0.1846635341644287,0.13043478260869565,0.14150943396226415,0.13574660633484162,15,100,91,1994
