model,split,bin,lower,upper,count,mean_probability,positive_rate
constant,development_train,0,0.0,0.1,10671,0.057445412801049575,0.057445412801049575
constant,development_validation,0,0.0,0.1,2533,0.05744541280104958,0.04066324516383735
logistic_c1,development_train,0,0.0,0.1,9165,0.04330261598087266,0.04233496999454446
logistic_c1,development_train,1,0.1,0.2,1388,0.13740399068330533,0.14337175792507204
logistic_c1,development_train,2,0.2,0.30000000000000004,117,0.21521098492619944,0.2222222222222222
logistic_c1,development_train,3,0.30000000000000004,0.4,1,0.3220895235369529,0.0
logistic_c1,development_validation,0,0.0,0.1,2291,0.044604299923115015,0.03317328677433435
logistic_c1,development_validation,1,0.1,0.2,239,0.14686836962842073,0.11297071129707113
logistic_c1,development_validation,2,0.2,0.30000000000000004,3,0.20603437258997945,0.0
gnn_seed_17,development_train,0,0.0,0.1,9418,0.015072419308125973,0.026014015078544617
gnn_seed_17,development_train,1,0.1,0.2,699,0.1418382227420807,0.18025751411914825
gnn_seed_17,development_train,2,0.2,0.30000000000000004,283,0.2423667460680008,0.32508835196495056
gnn_seed_17,development_train,3,0.30000000000000004,0.4,153,0.35012832283973694,0.4901960790157318
gnn_seed_17,development_train,4,0.4,0.5,97,0.4459749460220337,0.6082473993301392
gnn_seed_17,development_train,5,0.5,0.6000000000000001,20,0.5289494395256042,0.75
gnn_seed_17,development_train,6,0.6000000000000001,0.7000000000000001,1,0.6176256537437439,1.0
gnn_seed_17,development_validation,0,0.0,0.1,2251,0.017023202031850815,0.03287427872419357
gnn_seed_17,development_validation,1,0.1,0.2,167,0.14090505242347717,0.06586826592683792
gnn_seed_17,development_validation,2,0.2,0.30000000000000004,55,0.24173930287361145,0.05454545468091965
gnn_seed_17,development_validation,3,0.30000000000000004,0.4,41,0.3420463800430298,0.19512194395065308
gnn_seed_17,development_validation,4,0.4,0.5,18,0.43558698892593384,0.3888888955116272
gnn_seed_17,development_validation,5,0.5,0.6000000000000001,1,0.5040486454963684,0.0
gnn_seed_23,development_train,0,0.0,0.1,8294,0.031296901404857635,0.024234386160969734
gnn_seed_23,development_train,1,0.1,0.2,1577,0.14253413677215576,0.12492073327302933
gnn_seed_23,development_train,2,0.2,0.30000000000000004,636,0.24093793332576752,0.22641509771347046
gnn_seed_23,development_train,3,0.30000000000000004,0.4,162,0.3290145695209503,0.43209877610206604
gnn_seed_23,development_train,4,0.4,0.5,1,0.4003797769546509,0.0
gnn_seed_23,development_train,5,0.5,0.6000000000000001,1,0.5170586705207825,1.0
gnn_seed_23,development_validation,0,0.0,0.1,2052,0.03681899607181549,0.031676411628723145
gnn_seed_23,development_validation,1,0.1,0.2,321,0.1439179927110672,0.05607476457953453
gnn_seed_23,development_validation,2,0.2,0.30000000000000004,144,0.24296681582927704,0.1111111119389534
gnn_seed_23,development_validation,3,0.30000000000000004,0.4,16,0.3281806409358978,0.25
gnn_seed_42,development_train,0,0.0,0.1,8701,0.027218090370297432,0.021836571395397186
gnn_seed_42,development_train,1,0.1,0.2,1365,0.14166073501110077,0.1487179547548294
gnn_seed_42,development_train,2,0.2,0.30000000000000004,416,0.24166354537010193,0.29567307233810425
gnn_seed_42,development_train,3,0.30000000000000004,0.4,137,0.3370503783226013,0.45255473256111145
gnn_seed_42,development_train,4,0.4,0.5,43,0.4343894124031067,0.6279069781303406
gnn_seed_42,development_train,5,0.5,0.6000000000000001,7,0.5625022053718567,0.8571428656578064
gnn_seed_42,development_train,6,0.6000000000000001,0.7000000000000001,2,0.6215488910675049,1.0
gnn_seed_42,development_validation,0,0.0,0.1,2171,0.029476692900061607,0.03270382434129715
gnn_seed_42,development_validation,1,0.1,0.2,276,0.13713206350803375,0.05797101557254791
gnn_seed_42,development_validation,2,0.2,0.30000000000000004,72,0.23696006834506989,0.1388888955116272
gnn_seed_42,development_validation,3,0.30000000000000004,0.4,12,0.32331347465515137,0.3333333432674408
gnn_seed_42,development_validation,4,0.4,0.5,2,0.4342620372772217,1.0
constant,development_test,0,0.0,0.1,2200,0.05744541280104958,0.04818181818181818
logistic_c1,development_test,0,0.0,0.1,1981,0.043649215262047444,0.043917213528520946
logistic_c1,development_test,1,0.1,0.2,214,0.1394759699568324,0.08411214953271028
logistic_c1,development_test,2,0.2,0.30000000000000004,5,0.20697734492891812,0.2
gnn_seed_17,development_test,0,0.0,0.1,1889,0.0184415802359581,0.039174165576696396
gnn_seed_17,development_test,1,0.1,0.2,191,0.14025463163852692,0.0890052393078804
gnn_seed_17,development_test,2,0.2,0.30000000000000004,78,0.24679721891880035,0.10256410390138626
gnn_seed_17,development_test,3,0.30000000000000004,0.4,29,0.3417711555957794,0.17241379618644714
gnn_seed_17,development_test,4,0.4,0.5,13,0.4470563530921936,0.1538461595773697
gnn_seed_23,development_test,0,0.0,0.1,1633,0.033970095217227936,0.037966933101415634
gnn_seed_23,development_test,1,0.1,0.2,338,0.14685307443141937,0.07396449893712997
gnn_seed_23,development_test,2,0.2,0.30000000000000004,197,0.2444751113653183,0.06598984450101852
gnn_seed_23,development_test,3,0.30000000000000004,0.4,32,0.32936227321624756,0.1875
gnn_seed_42,development_test,0,0.0,0.1,1849,0.030181504786014557,0.03839913383126259
gnn_seed_42,development_test,1,0.1,0.2,260,0.13934333622455597,0.08076923340559006
gnn_seed_42,development_test,2,0.2,0.30000000000000004,68,0.24169088900089264,0.14705882966518402
gnn_seed_42,development_test,3,0.30000000000000004,0.4,19,0.33110445737838745,0.21052631735801697
gnn_seed_42,development_test,4,0.4,0.5,1,0.4096887409687042,0.0
gnn_seed_42,development_test,5,0.5,0.6000000000000001,3,0.5186238884925842,0.0
