model,seed,split,n,positive_count,negative_count,prevalence,average_precision,roc_auc,brier_score,log_loss,threshold_threshold,threshold_precision,threshold_recall,threshold_f1,threshold_tp,threshold_fp,threshold_fn,threshold_tn
constant,,development_train,10671,613,10058,0.057445412801049575,0.057445412801049575,0.5,0.05414543734916659,0.21987984622068357,0.057445412801049575,0.057445412801049575,1.0,0.108649415101028,613,10058,0,0
constant,,development_validation,2533,103,2430,0.04066324516383735,0.04066324516383735,0.5,0.039291386807186496,0.17292739103110444,0.057445412801049575,0.04066324516383735,1.0,0.07814871016691957,103,2430,0,0
logistic_c1,,development_train,10671,613,10058,0.057445412801049575,0.1361701639165617,0.7072788592882328,0.05222013954099145,0.2044061808167684,0.12560341787484255,0.1684322033898305,0.25938009787928223,0.20423892100192678,159,785,454,9273
logistic_c1,,development_validation,2533,103,2430,0.04066324516383735,0.08999784870644094,0.6923009309201327,0.038379627556770685,0.16109829691228733,0.12560341787484255,0.147239263803681,0.23300970873786409,0.18045112781954886,24,139,79,2291
gnn_seed_17,17,development_train,10671,613,10058,0.057445412801049575,0.323501208407019,0.8611351064316363,0.04596064896622846,0.1665815830017868,0.14238983392715454,0.27807017543859647,0.5171288743882545,0.3616657159155733,317,823,296,9235
gnn_seed_17,17,development_validation,2533,103,2430,0.04066324516383735,0.12080590397759569,0.7097646729793439,0.03925738399089542,0.16498823938477764,0.14238983392715454,0.14457831325301204,0.34951456310679613,0.20454545454545453,36,213,67,2217
gnn_seed_23,23,development_train,10671,613,10058,0.057445412801049575,0.27483490769021135,0.8447406348237321,0.047321415790164786,0.17276735126900955,0.189103901386261,0.28170594837261503,0.4094616639477977,0.3337765957446809,251,640,362,9418
gnn_seed_23,23,development_validation,2533,103,2430,0.04066324516383735,0.10605370414540201,0.6611930161013224,0.04079827647602482,0.1718193587309944,0.189103901386261,0.14213197969543148,0.27184466019417475,0.1866666666666667,28,169,75,2261
gnn_seed_42,42,development_train,10671,613,10058,0.057445412801049575,0.3088542995980974,0.8573021986345428,0.04669180812258847,0.16955644485726926,0.1742379069328308,0.3133514986376022,0.37520391517128876,0.3414996288047513,230,504,383,9554
gnn_seed_42,42,development_validation,2533,103,2430,0.04066324516383735,0.117812112042323,0.6941947341084342,0.03871771416983551,0.16632888909197885,0.1742379069328308,0.17699115044247787,0.1941747572815534,0.1851851851851852,20,93,83,2337
constant,,development_test,2200,106,2094,0.04818181818181818,0.04818181818181818,0.5,0.045946144763781845,0.1939625439593566,0.057445412801049575,0.04818181818181818,1.0,0.0919340849956635,106,2094,0,0
logistic_c1,,development_test,2200,106,2094,0.04818181818181818,0.07760780363142826,0.6318051575931232,0.045775746911450574,0.18859569421645414,0.12560341787484255,0.08759124087591241,0.11320754716981132,0.09876543209876543,12,125,94,1969
gnn_seed_17,17,development_test,2200,106,2094,0.04818181818181818,0.11314127316696386,0.6867059523165918,0.04678787288988046,0.1936649780828211,0.14238983392715454,0.09731543624161074,0.27358490566037735,0.14356435643564358,29,269,77,1825
gnn_seed_23,23,development_test,2200,106,2094,0.04818181818181818,0.10295126715733031,0.6670586221189021,0.048932527946491895,0.19863679022094655,0.189103901386261,0.08786610878661087,0.19811320754716982,0.12173913043478261,21,218,85,1876
gnn_seed_42,42,development_test,2200,106,2094,0.04818181818181818,0.10620849032283525,0.7025013065181741,0.046230914066961386,0.18710437285480427,0.1742379069328308,0.12101910828025478,0.1792452830188679,0.1444866920152091,19,138,87,1956
