model,split,bin,lower,upper,count,mean_probability,positive_rate
constant,development_train,0,0.0,0.1,10671,0.057445412801049575,0.057445412801049575
constant,development_validation,0,0.0,0.1,2533,0.05744541280104958,0.04066324516383735
logistic_c1,development_train,0,0.0,0.1,9165,0.04330261598087266,0.04233496999454446
logistic_c1,development_train,1,0.1,0.2,1388,0.13740399068330533,0.14337175792507204
logistic_c1,development_train,2,0.2,0.30000000000000004,117,0.21521098492619944,0.2222222222222222
logistic_c1,development_train,3,0.30000000000000004,0.4,1,0.3220895235369529,0.0
logistic_c1,development_validation,0,0.0,0.1,2291,0.044604299923115015,0.03317328677433435
logistic_c1,development_validation,1,0.1,0.2,239,0.14686836962842073,0.11297071129707113
logistic_c1,development_validation,2,0.2,0.30000000000000004,3,0.20603437258997945,0.0
gnn_seed_17,development_train,0,0.0,0.1,8860,0.028926482424139977,0.02404063194990158
gnn_seed_17,development_train,1,0.1,0.2,1167,0.14012746512889862,0.1396743804216385
gnn_seed_17,development_train,2,0.2,0.30000000000000004,455,0.24272394180297852,0.31208792328834534
gnn_seed_17,development_train,3,0.30000000000000004,0.4,141,0.3427892327308655,0.43971630930900574
gnn_seed_17,development_train,4,0.4,0.5,45,0.43451249599456787,0.7111111283302307
gnn_seed_17,development_train,5,0.5,0.6000000000000001,2,0.5259534120559692,0.0
gnn_seed_17,development_train,6,0.6000000000000001,0.7000000000000001,1,0.6697939038276672,1.0
gnn_seed_17,development_validation,0,0.0,0.1,2066,0.03336777538061142,0.029041625559329987
gnn_seed_17,development_validation,1,0.1,0.2,332,0.1344880759716034,0.07228915393352509
gnn_seed_17,development_validation,2,0.2,0.30000000000000004,103,0.2441692054271698,0.12621359527111053
gnn_seed_17,development_validation,3,0.30000000000000004,0.4,29,0.32654517889022827,0.13793103396892548
gnn_seed_17,development_validation,4,0.4,0.5,3,0.4243227243423462,0.6666666865348816
gnn_seed_23,development_train,0,0.0,0.1,8588,0.029668256640434265,0.02573358081281185
gnn_seed_23,development_train,1,0.1,0.2,1265,0.14268243312835693,0.124901182949543
gnn_seed_23,development_train,2,0.2,0.30000000000000004,571,0.24258092045783997,0.22066549956798553
gnn_seed_23,development_train,3,0.30000000000000004,0.4,203,0.338287889957428,0.403940886259079
gnn_seed_23,development_train,4,0.4,0.5,35,0.43403130769729614,0.6000000238418579
gnn_seed_23,development_train,5,0.5,0.6000000000000001,8,0.5469448566436768,0.5
gnn_seed_23,development_train,6,0.6000000000000001,0.7000000000000001,1,0.6601266264915466,1.0
gnn_seed_23,development_validation,0,0.0,0.1,1972,0.03631318733096123,0.031947262585163116
gnn_seed_23,development_validation,1,0.1,0.2,389,0.1343454271554947,0.04113110527396202
gnn_seed_23,development_validation,2,0.2,0.30000000000000004,121,0.2432514727115631,0.09090909361839294
gnn_seed_23,development_validation,3,0.30000000000000004,0.4,46,0.33455541729927063,0.239130437374115
gnn_seed_23,development_validation,4,0.4,0.5,5,0.410823255777359,0.4000000059604645
gnn_seed_42,development_train,0,0.0,0.1,8721,0.030907535925507545,0.023735810071229935
gnn_seed_42,development_train,1,0.1,0.2,1421,0.139699786901474,0.1534130871295929
gnn_seed_42,development_train,2,0.2,0.30000000000000004,368,0.242089182138443,0.28804346919059753
gnn_seed_42,development_train,3,0.30000000000000004,0.4,133,0.34277257323265076,0.45864662528038025
gnn_seed_42,development_train,4,0.4,0.5,28,0.438127338886261,0.75
gnn_seed_42,development_validation,0,0.0,0.1,2128,0.03341556340456009,0.029605263844132423
gnn_seed_42,development_validation,1,0.1,0.2,327,0.13324634730815887,0.0764525979757309
gnn_seed_42,development_validation,2,0.2,0.30000000000000004,63,0.23601695895195007,0.1746031790971756
gnn_seed_42,development_validation,3,0.30000000000000004,0.4,13,0.33376556634902954,0.23076923191547394
gnn_seed_42,development_validation,4,0.4,0.5,2,0.4185943603515625,0.5
constant,development_test,0,0.0,0.1,2200,0.05744541280104958,0.04818181818181818
logistic_c1,development_test,0,0.0,0.1,1981,0.043649215262047444,0.043917213528520946
logistic_c1,development_test,1,0.1,0.2,214,0.1394759699568324,0.08411214953271028
logistic_c1,development_test,2,0.2,0.30000000000000004,5,0.20697734492891812,0.2
gnn_seed_17,development_test,0,0.0,0.1,1709,0.03190871328115463,0.03510824963450432
gnn_seed_17,development_test,1,0.1,0.2,333,0.13963066041469574,0.07507507503032684
gnn_seed_17,development_test,2,0.2,0.30000000000000004,122,0.24118082225322723,0.10655737668275833
gnn_seed_17,development_test,3,0.30000000000000004,0.4,36,0.33534547686576843,0.2222222238779068
gnn_seed_23,development_test,0,0.0,0.1,1679,0.03375643864274025,0.036926742643117905
gnn_seed_23,development_test,1,0.1,0.2,303,0.14490917325019836,0.07920791953802109
gnn_seed_23,development_test,2,0.2,0.30000000000000004,153,0.24356846511363983,0.05882352963089943
gnn_seed_23,development_test,3,0.30000000000000004,0.4,64,0.3382795751094818,0.15625
gnn_seed_23,development_test,4,0.4,0.5,1,0.42955532670021057,1.0
gnn_seed_42,development_test,0,0.0,0.1,1758,0.03248918056488037,0.03697383403778076
gnn_seed_42,development_test,1,0.1,0.2,335,0.13976140320301056,0.07761193811893463
gnn_seed_42,development_test,2,0.2,0.30000000000000004,79,0.23828943073749542,0.1139240488409996
gnn_seed_42,development_test,3,0.30000000000000004,0.4,24,0.3442666232585907,0.2083333283662796
gnn_seed_42,development_test,4,0.4,0.5,4,0.43219348788261414,0.25
