field,status,rows,row_fraction
identity,VERIFIED_IN_SOURCE_DRIVERS_JSON,1027303,1.0
driver_ahead_identity,NO_CAR_AHEAD,54822,0.05336497605867013
driver_ahead_identity,VERIFIED_IN_SOURCE_DRIVERS_JSON,972481,0.9466350239413299
timestamp,UNANCHORED,818,0.0007962597208418549
timestamp,UTC_ANCHORED,1026485,0.9992037402791581
weather,MATCHED,1015006,0.9880298217760486
weather,STALE,11479,0.011173918503109599
weather,UNKNOWN_UNANCHORED,818,0.0007962597208418549
pit_current,MATCHED,201334,0.19598307412710758
pit_current,NO_EVENT_CONFIRMED,741285,0.7215836028902866
pit_current,SOURCE_EMPTY_UNVERIFIED,39454,0.03840541690231607
pit_current,UNKNOWN_SAME_LAP_EVENT,45230,0.04402790608028985
pit_ahead,MATCHED,164869,0.16048721750058162
pit_ahead,NO_CAR_AHEAD,54822,0.05336497605867013
pit_ahead,NO_EVENT_CONFIRMED,704372,0.6856516529203166
pit_ahead,SOURCE_EMPTY_UNVERIFIED,37151,0.03616362455867451
pit_ahead,UNKNOWN_SAME_LAP_EVENT,66089,0.06433252896175715
race_control,MATCHED,356706,0.34722569680026244
race_control,STALE,669779,0.6519780434788958
race_control,UNKNOWN_UNANCHORED,818,0.0007962597208418549
