race_id,candidate_id,split,attacker_driver,target_driver,decision_lap,endpoint_lap,last_confirmed_classified_order_before,first_confirmed_classified_order_after,physical_track_order_status,event_time_interval_start_utc,event_time_interval_end_utc,timestamp_uncertainty_sec,pit_status_evidence,race_control_status_evidence,telemetry_evidence,classification,evidence_references,review_status,session_interval_start_sec,session_interval_end_sec,car_samples_attacker,car_samples_target,position_samples_attacker,position_samples_target,candidate_telemetry_status,candidate_interval_duration_sec,candidate_large_interval_flag
2018:Chinese Grand Prix:Race,f4ebae63e29cd23dfb4904e0,train,GAS,HAR,3,4,GAS:19;HAR:18,GAS:18;HAR:19,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-04-15T06:17:12.376000+00:00,2018-04-15T06:18:54.368000+00:00,1.18,NO_RELEVANT_PIT_ROW_FOUND_IN_CONTEXT,RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",UNRESOLVED,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/GAS/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/HAR/laptimes.json || source_url=https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/rcm.json|source_time_utc=2018-04-15T06:17:07+00:00|category=Drs|scope=|sector=|message=DRS ENABLED,AUTOMATED_REVIEW_UNREVIEWED,672.258,774.25,423,423,344,344,BOTH_STREAMS_HAVE_TIMESTAMPED_SAMPLES,101.992,FALSE
2018:Chinese Grand Prix:Race,d607562353db357fef3ff471,train,OCO,STR,5,6,OCO:13;STR:12,OCO:12;STR:13,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-04-15T06:20:31.130000+00:00,2018-04-15T06:22:12.231000+00:00,0.955,NO_RELEVANT_PIT_ROW_FOUND_IN_CONTEXT,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",UNRESOLVED,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/OCO/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/STR/laptimes.json,AUTOMATED_REVIEW_UNREVIEWED,871.012,972.113,418,418,340,340,BOTH_STREAMS_HAVE_TIMESTAMPED_SAMPLES,101.101,FALSE
2018:Chinese Grand Prix:Race,1e8552d0f0faa75a3f547f46,train,ERI,HAR,9,10,ERI:20;HAR:19,ERI:19;HAR:20,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-04-15T06:27:27.284000+00:00,2018-04-15T06:29:07.751000+00:00,2.455,PIT_LAP_OVERLAP_RECORDED_BUT_TIME_OF_DAY_ONLY,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",OTHER_POSITION_CHANGE,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/ERI/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/HAR/laptimes.json || source_url=https://api.jolpi.ca/ergast/f1/2018/3/pitstops.json?limit=1000|lap=10|time_of_day=14:30:52|availability_status=DURATION_AND_TIME_OF_DAY_ONLY,AUTOMATED_REVIEW_UNREVIEWED,1287.166,1387.633,417,417,338,338,BOTH_STREAMS_HAVE_TIMESTAMPED_SAMPLES,100.467,FALSE
2018:Chinese Grand Prix:Race,facb85c33db010099f070e47,train,MAG,SAI,11,12,MAG:9;SAI:8,MAG:8;SAI:9,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-04-15T06:30:32.598000+00:00,2018-04-15T06:32:10.293000+00:00,6.248,PIT_LAP_OVERLAP_RECORDED_BUT_TIME_OF_DAY_ONLY,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",OTHER_POSITION_CHANGE,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/MAG/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/SAI/laptimes.json || source_url=https://api.jolpi.ca/ergast/f1/2018/3/pitstops.json?limit=1000|lap=12|time_of_day=14:33:53|availability_status=DURATION_AND_TIME_OF_DAY_ONLY,AUTOMATED_REVIEW_UNREVIEWED,1472.48,1570.175,404,404,329,329,BOTH_STREAMS_HAVE_TIMESTAMPED_SAMPLES,97.695,FALSE
2018:Chinese Grand Prix:Race,409be56270cad8da244c925b,train,GRO,SAI,12,13,GRO:10;SAI:9,GRO:9;SAI:16,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-04-15T06:32:14.832000+00:00,2018-04-15T06:33:55.888000+00:00,4.915,PIT_LAP_OVERLAP_RECORDED_BUT_TIME_OF_DAY_ONLY,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",OTHER_POSITION_CHANGE,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/GRO/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/SAI/laptimes.json || source_url=https://api.jolpi.ca/ergast/f1/2018/3/pitstops.json?limit=1000|lap=12|time_of_day=14:33:53|availability_status=DURATION_AND_TIME_OF_DAY_ONLY,AUTOMATED_REVIEW_UNREVIEWED,1574.714,1675.77,418,418,340,340,BOTH_STREAMS_HAVE_TIMESTAMPED_SAMPLES,101.056,FALSE
2018:Chinese Grand Prix:Race,71b8b48cd2bb892df8703e8e,train,LEC,PER,12,13,LEC:16;PER:15,LEC:14;PER:19,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-04-15T06:32:28.418000+00:00,2018-04-15T06:34:07.881000+00:00,7.912,PIT_LAP_OVERLAP_RECORDED_BUT_TIME_OF_DAY_ONLY,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",OTHER_POSITION_CHANGE,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/LEC/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/PER/laptimes.json || source_url=https://api.jolpi.ca/ergast/f1/2018/3/pitstops.json?limit=1000|lap=12|time_of_day=14:34:05|availability_status=DURATION_AND_TIME_OF_DAY_ONLY,AUTOMATED_REVIEW_UNREVIEWED,1588.3,1687.763,411,411,335,335,BOTH_STREAMS_HAVE_TIMESTAMPED_SAMPLES,99.463,FALSE
2018:Chinese Grand Prix:Race,44bdb82c890683cbae61a802,train,ALO,GRO,15,16,ALO:9;GRO:8,ALO:8;GRO:9,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-04-15T06:37:18.323000+00:00,2018-04-15T06:38:58.095000+00:00,1.607,PIT_LAP_OVERLAP_RECORDED_BUT_TIME_OF_DAY_ONLY,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",OTHER_POSITION_CHANGE,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/ALO/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/GRO/laptimes.json || source_url=https://api.jolpi.ca/ergast/f1/2018/3/pitstops.json?limit=1000|lap=16|time_of_day=14:40:41|availability_status=DURATION_AND_TIME_OF_DAY_ONLY,AUTOMATED_REVIEW_UNREVIEWED,1878.205,1977.977,409,409,336,336,BOTH_STREAMS_HAVE_TIMESTAMPED_SAMPLES,99.772,FALSE
2018:Chinese Grand Prix:Race,03e98988cc7a32b9a7f3aa8d,train,HUL,SIR,16,17,HUL:13;SIR:12,HUL:11;SIR:12,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-04-15T06:39:11.690000+00:00,2018-04-15T06:40:51.121000+00:00,2.297,NO_RELEVANT_PIT_ROW_FOUND_IN_CONTEXT,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",UNRESOLVED,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/HUL/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/SIR/laptimes.json,AUTOMATED_REVIEW_UNREVIEWED,1991.572,2091.003,408,408,334,334,BOTH_STREAMS_HAVE_TIMESTAMPED_SAMPLES,99.431,FALSE
2018:Chinese Grand Prix:Race,11e34f7a67fca3dab4afadb7,train,RAI,VER,16,17,RAI:4;VER:3,RAI:3;VER:4,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-04-15T06:38:31.733000+00:00,2018-04-15T06:40:08.170000+00:00,5.869,PIT_LAP_OVERLAP_RECORDED_BUT_TIME_OF_DAY_ONLY,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",OTHER_POSITION_CHANGE,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/RAI/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/VER/laptimes.json || source_url=https://api.jolpi.ca/ergast/f1/2018/3/pitstops.json?limit=1000|lap=17|time_of_day=14:41:50|availability_status=DURATION_AND_TIME_OF_DAY_ONLY,AUTOMATED_REVIEW_UNREVIEWED,1951.615,2048.052,395,395,324,324,BOTH_STREAMS_HAVE_TIMESTAMPED_SAMPLES,96.437,FALSE
2018:Chinese Grand Prix:Race,dd070217b082e36fcc14949c,train,HAM,VER,17,18,HAM:5;VER:4,HAM:4;VER:5,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-04-15T06:40:12.597000+00:00,2018-04-15T06:41:52.218000+00:00,4.746,PIT_LAP_OVERLAP_RECORDED_BUT_TIME_OF_DAY_ONLY,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",OTHER_POSITION_CHANGE,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/HAM/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Chinese%20Grand%20Prix/Race/VER/laptimes.json || source_url=https://api.jolpi.ca/ergast/f1/2018/3/pitstops.json?limit=1000|lap=18|time_of_day=14:43:33|availability_status=DURATION_AND_TIME_OF_DAY_ONLY;source_url=https://api.jolpi.ca/ergast/f1/2018/3/pitstops.json?limit=1000|lap=17|time_of_day=14:41:50|availability_status=DURATION_AND_TIME_OF_DAY_ONLY,AUTOMATED_REVIEW_UNREVIEWED,2052.479,2152.1,410,410,336,336,BOTH_STREAMS_HAVE_TIMESTAMPED_SAMPLES,99.621,FALSE
