race_id,year,event,session,provider,fastf1_version,cache_state_before_load,cache_files_before,cache_bytes_before,cache_digest_before,raw_cache_retained,request_scope_guard,participant_driver_count,expected_driver_count,fastf1_missing_expected_drivers,fastf1_extra_drivers,car_rows_written,position_rows_written,retrieval_status,cache_files_after,cache_bytes_after,cache_digest_after,new_cache_bytes,cache_file_metadata,cache_cleanup_status
2018:Chinese Grand Prix:Race,2018,Chinese Grand Prix,Race,FastF1,3.8.3,NEW_DOWNLOAD_EXPECTED,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,approved split row checked before get_session,20,20,[],[],475304,387297,SUCCESS,10,70292003,4df1251fc74e5fb2f08b2e9c10fa693cd0f5e3f619938d0013fb98ae35a3598b,70292003,"[{'name': '2018/2018-04-15_Chinese_Grand_Prix/2018-04-15_Race/_extended_timing_data.ff1pkl', 'bytes': 1016310, 'sha256': '2c0128edf55be4f1e09f7ff0622749b3982ffc7601773258c439c087a0168d3a'}, {'name': '2018/2018-04-15_Chinese_Grand_Prix/2018-04-15_Race/car_data.ff1pkl', 'bytes': 32747870, 'sha256': 'e0205d756ccdf556cfaed2d51449bd80840adaa5236685136024e264b4f3e7c3'}, {'name': '2018/2018-04-15_Chinese_Grand_Prix/2018-04-15_Race/driver_info.ff1pkl', 'bytes': 2300, 'sha256': '1ff2c0644d32d7d3ae90ea453c97cd9a28336ed7b0a2317847770d409224739c'}, {'name': '2018/2018-04-15_Chinese_Grand_Prix/2018-04-15_Race/lap_count.ff1pkl', 'bytes': 1164, 'sha256': 'ac172f9c24faeb2bfd58a26aba6c3ce0ad62fa52ef78518f8f71a2de4274a2c5'}, {'name': '2018/2018-04-15_Chinese_Grand_Prix/2018-04-15_Race/position_data.ff1pkl', 'bytes': 19875568, 'sha256': '31e17c94f7e2ebbc4a058d8f9902e1eb880889a2923d5c65e4a0e69886e8eafb'}, {'name': '2018/2018-04-15_Chinese_Grand_Prix/2018-04-15_Race/session_info.ff1pkl', 'bytes': 445, 'sha256': 'a15f4983de902ff7fcf6e100b7ab00c50116ff611d747a48b99d17f803420bc7'}, {'name': '2018/2018-04-15_Chinese_Grand_Prix/2018-04-15_Race/session_status_data.ff1pkl', 'bytes': 216, 'sha256': 'ace0c4718887f2a943d6388ec87eb62794e5e82942215b05ae2c40677c328471'}, {'name': '2018/2018-04-15_Chinese_Grand_Prix/2018-04-15_Race/timing_app_data.ff1pkl', 'bytes': 58996, 'sha256': 'b4e4126eb9665a1de44d9264e98906338b739c35e1613dc54606721d5aeeaebf'}, {'name': '2018/2018-04-15_Chinese_Grand_Prix/2018-04-15_Race/track_status_data.ff1pkl', 'bytes': 334, 'sha256': '4f91c781b809a54ae39a556cadb8502ae78c78ed2423141312d8132209a81289'}, {'name': 'fastf1_http_cache.sqlite', 'bytes': 16588800, 'sha256': 'e2b0693c2ce12bc4387ba04d88eacffc9b817683516fb03100e7477742079614'}]",CLEANED
2019:Australian Grand Prix:Race,2019,Australian Grand Prix,Race,FastF1,3.8.3,NEW_DOWNLOAD_EXPECTED,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,approved split row checked before get_session,20,20,[],[],398270,317300,SUCCESS,10,74946071,c8a8c7b30e36e3212fe8d60e3b2a460e85972a0baaee93a06cde3ff006b0c88b,74946071,"[{'name': '2019/2019-03-17_Australian_Grand_Prix/2019-03-17_Race/_extended_timing_data.ff1pkl', 'bytes': 1024812, 'sha256': 'c5028fcf2fda0370c67770ade301a9df58b82f70a06500747064df933a4744c9'}, {'name': '2019/2019-03-17_Australian_Grand_Prix/2019-03-17_Race/car_data.ff1pkl', 'bytes': 36404811, 'sha256': 'ee3873199ec2fc2adecf25422e394cb291e35c654e37615e8af600f2606a10e6'}, {'name': '2019/2019-03-17_Australian_Grand_Prix/2019-03-17_Race/driver_info.ff1pkl', 'bytes': 2315, 'sha256': 'eb292b47434de056859615ae2be5529b1e396a3aa99da3b3d2927193648188c3'}, {'name': '2019/2019-03-17_Australian_Grand_Prix/2019-03-17_Race/lap_count.ff1pkl', 'bytes': 1204, 'sha256': 'a2f0dd82bdee404f04a57004f7927541871ad98fe3f2d0e56adb64719e75f79b'}, {'name': '2019/2019-03-17_Australian_Grand_Prix/2019-03-17_Race/position_data.ff1pkl', 'bytes': 21628689, 'sha256': '700094ca1e229f7da97d917095f7b8f877c114dbad3f077de29ec978fde44e55'}, {'name': '2019/2019-03-17_Australian_Grand_Prix/2019-03-17_Race/session_info.ff1pkl', 'bytes': 457, 'sha256': 'afc091c3365caab45b3fc79cb0d21b88309c6cf2c009c6703bc3a7ba50cc23e7'}, {'name': '2019/2019-03-17_Australian_Grand_Prix/2019-03-17_Race/session_status_data.ff1pkl', 'bytes': 216, 'sha256': '9bf72b242327ba12c94f759e7775582430938ae97816b960cc6054b0a5c87a50'}, {'name': '2019/2019-03-17_Australian_Grand_Prix/2019-03-17_Race/timing_app_data.ff1pkl', 'bytes': 101438, 'sha256': '1409b9b3d036ab09bbd88ddf61c7dec6cb286f69657a43ab5676be8a2144a36b'}, {'name': '2019/2019-03-17_Australian_Grand_Prix/2019-03-17_Race/track_status_data.ff1pkl', 'bytes': 241, 'sha256': 'fb2526d9ae41cc18396bdf31710ae16b9d6c6f89b8a506529c64d6922f64fc8f'}, {'name': 'fastf1_http_cache.sqlite', 'bytes': 15781888, 'sha256': '4fb5d576d1683c9623b37aa5de192d269a7f7b6f694e6e70fe945c5425a1da8c'}]",CLEANED
2020:Hungarian Grand Prix:Race,2020,Hungarian Grand Prix,Race,FastF1,3.8.3,NEW_DOWNLOAD_EXPECTED,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,approved split row checked before get_session,20,20,[],[],460025,509488,SUCCESS,10,109079808,d76b94965f5202cb786576d78c1e288591cc37b86ec6dbba1635101c3ab7efd9,109079808,"[{'name': '2020/2020-07-19_Hungarian_Grand_Prix/2020-07-19_Race/_extended_timing_data.ff1pkl', 'bytes': 1027755, 'sha256': 'b9da5963357b0dae95d4a3d06fdd35a538ece8cd655e8ddd3185204f6956d364'}, {'name': '2020/2020-07-19_Hungarian_Grand_Prix/2020-07-19_Race/car_data.ff1pkl', 'bytes': 43436670, 'sha256': 'b89f409cda0d3dfa1225662423fa162beebe27005467295bd7b91585e35148b8'}, {'name': '2020/2020-07-19_Hungarian_Grand_Prix/2020-07-19_Race/driver_info.ff1pkl', 'bytes': 5201, 'sha256': '377cb5d21595ab40fc51d3d469b66bb8c4cba87046754547e7001feccb8e73bf'}, {'name': '2020/2020-07-19_Hungarian_Grand_Prix/2020-07-19_Race/lap_count.ff1pkl', 'bytes': 1432, 'sha256': 'bcf606ed07be95aeb4c611b3bd2f6cf118842a265c07c2db687507392233d496'}, {'name': '2020/2020-07-19_Hungarian_Grand_Prix/2020-07-19_Race/position_data.ff1pkl', 'bytes': 40000251, 'sha256': 'b4e3b276773a126349061f1cb3f05b985ef7ddd8de5da6a98bfe48ef44497729'}, {'name': '2020/2020-07-19_Hungarian_Grand_Prix/2020-07-19_Race/session_info.ff1pkl', 'bytes': 454, 'sha256': '77cd71fe4f134d13f92cdca075da0d9697e44d4d525204e5c2e5093ff0b93c70'}, {'name': '2020/2020-07-19_Hungarian_Grand_Prix/2020-07-19_Race/session_status_data.ff1pkl', 'bytes': 216, 'sha256': '0d0a90907de46351d7220194c1f0eec480861e3ec828a4d44628202343eac311'}, {'name': '2020/2020-07-19_Hungarian_Grand_Prix/2020-07-19_Race/timing_app_data.ff1pkl', 'bytes': 125686, 'sha256': '56de09293e8a39af449cebb93e998356271fc1ad34c70a2473da3405815623c7'}, {'name': '2020/2020-07-19_Hungarian_Grand_Prix/2020-07-19_Race/track_status_data.ff1pkl', 'bytes': 351, 'sha256': 'd8728f9c4600f05f545090880b574516aca3dcbe6002a689ed22779b7856279b'}, {'name': 'fastf1_http_cache.sqlite', 'bytes': 24481792, 'sha256': '20eb927fe99206b92ffb5bdb364a8ed9307fdd2dda459a11f03251e2e75d9f41'}]",CLEANED
2018:Azerbaijan Grand Prix:Race,2018,Azerbaijan Grand Prix,Race,FastF1,3.8.3,NEW_DOWNLOAD_EXPECTED,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,approved split row checked before get_session,20,20,[],[],427514,348130,SUCCESS,10,69985018,10ce8ae6503212de6d535c510917257d71268778830460127790f188b89fe73f,69985018,"[{'name': '2018/2018-04-29_Azerbaijan_Grand_Prix/2018-04-29_Race/_extended_timing_data.ff1pkl', 'bytes': 839922, 'sha256': 'a2239fa558a49863400d4dbba53cd8f24c8267b501ff359c54e3cf47fbc00d80'}, {'name': '2018/2018-04-29_Azerbaijan_Grand_Prix/2018-04-29_Race/car_data.ff1pkl', 'bytes': 33270650, 'sha256': '1b47308f6675024aa678512cb77e75b1cc85c2244283a60027280b869681e997'}, {'name': '2018/2018-04-29_Azerbaijan_Grand_Prix/2018-04-29_Race/driver_info.ff1pkl', 'bytes': 2300, 'sha256': '940188ad8cbaca4d22c81fc46693f36d1f0d158d465a6bd0ed4f454fa1083759'}, {'name': '2018/2018-04-29_Azerbaijan_Grand_Prix/2018-04-29_Race/lap_count.ff1pkl', 'bytes': 1069, 'sha256': '660c6883520393643ba777489b537dc6220755a45a73ab3859e02394f8b9b914'}, {'name': '2018/2018-04-29_Azerbaijan_Grand_Prix/2018-04-29_Race/position_data.ff1pkl', 'bytes': 20210848, 'sha256': 'f1090cb6ed898463b14e94e645b0386c8139e97725756e17a2a7c2c8a35b3d9a'}, {'name': '2018/2018-04-29_Azerbaijan_Grand_Prix/2018-04-29_Race/session_info.ff1pkl', 'bytes': 448, 'sha256': '06560d35fcae1305c73d2940c642ee97826e3f314e77bb751d60857931ffe135'}, {'name': '2018/2018-04-29_Azerbaijan_Grand_Prix/2018-04-29_Race/session_status_data.ff1pkl', 'bytes': 216, 'sha256': 'a55573e4ab220a18a74d116afc251a83fa7d9fcd899bfa37a2ecdf38ca504e18'}, {'name': '2018/2018-04-29_Azerbaijan_Grand_Prix/2018-04-29_Race/timing_app_data.ff1pkl', 'bytes': 81757, 'sha256': '52d23ece90a7d354cc22a1844c6f283d77adb2880e470e286afb250915de8326'}, {'name': '2018/2018-04-29_Azerbaijan_Grand_Prix/2018-04-29_Race/track_status_data.ff1pkl', 'bytes': 720, 'sha256': 'ab784fca01e2ed6366c4c06c12ba4dd1e644ea48593af718b8e0f54c75b6c11c'}, {'name': 'fastf1_http_cache.sqlite', 'bytes': 15577088, 'sha256': 'b0c683b7643b9ca239332255874e08cb7d173ece7fa61101c178192671235fc8'}]",CLEANED
2018:Canadian Grand Prix:Race,2018,Canadian Grand Prix,Race,FastF1,3.8.3,NEW_DOWNLOAD_EXPECTED,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,approved split row checked before get_session,20,20,[],[],399509,326210,SUCCESS,10,65205051,4cd9f2fd7e9c621747894e572b2142792c1003dda3f18ded1ff95db65ec3c8fd,65205051,"[{'name': '2018/2018-06-10_Canadian_Grand_Prix/2018-06-10_Race/_extended_timing_data.ff1pkl', 'bytes': 902794, 'sha256': 'b009bd5510dc647b2b8dcb15bab565cf1079a5e8872d7d126cc22b6eab9e01de'}, {'name': '2018/2018-06-10_Canadian_Grand_Prix/2018-06-10_Race/car_data.ff1pkl', 'bytes': 30704070, 'sha256': '16348a2a6d5d2f316ba97a8ed337cfd81bf504bc32e4674fa49c3bdca188d51d'}, {'name': '2018/2018-06-10_Canadian_Grand_Prix/2018-06-10_Race/driver_info.ff1pkl', 'bytes': 2300, 'sha256': '832ccd123223b0cb8042073b14231834e4ca3e8c4ad6b31947ecb761b0d02ae1'}, {'name': '2018/2018-06-10_Canadian_Grand_Prix/2018-06-10_Race/lap_count.ff1pkl', 'bytes': 1434, 'sha256': '9288760d24d3e0e4db3a20d34b8c164e3cb799a505d6237011e71f33428fa0d0'}, {'name': '2018/2018-06-10_Canadian_Grand_Prix/2018-06-10_Race/position_data.ff1pkl', 'bytes': 18719128, 'sha256': '002a60cd7464e1d5a1ddb251fadaef23849aa8a40a34977384b6743bc5db2894'}, {'name': '2018/2018-06-10_Canadian_Grand_Prix/2018-06-10_Race/session_info.ff1pkl', 'bytes': 454, 'sha256': '6798f88298d3115cb69b3188c74e1377fe9f4699c2c7f557833b6699663d5a77'}, {'name': '2018/2018-06-10_Canadian_Grand_Prix/2018-06-10_Race/session_status_data.ff1pkl', 'bytes': 216, 'sha256': '765279c494b9f2289a9eb63b1bb0c280903c16b5560c52630bea762f14fe6e69'}, {'name': '2018/2018-06-10_Canadian_Grand_Prix/2018-06-10_Race/timing_app_data.ff1pkl', 'bytes': 108216, 'sha256': '9a5d879159cd41c4080e45da2b476f107fee171dff7aad5ec72b3ef60d3f8a95'}, {'name': '2018/2018-06-10_Canadian_Grand_Prix/2018-06-10_Race/track_status_data.ff1pkl', 'bytes': 359, 'sha256': 'd43e648c858791d83765305eeae26b31cd40395ec3cc84d22066b167197bceb8'}, {'name': 'fastf1_http_cache.sqlite', 'bytes': 14766080, 'sha256': '1f1ac7d40fe4b404f90b0edbdaa6e9f3f1c38e9198bfdc05e5b5fc836cc07047'}]",CLEANED
2018:French Grand Prix:Race,2018,French Grand Prix,Race,FastF1,3.8.3,NEW_DOWNLOAD_EXPECTED,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,approved split row checked before get_session,20,20,[],[],396139,322496,SUCCESS,10,64255330,836f87602eb4da667f9d759d6c60a93886ea2f256e7db80bd0b80368ca22c077,64255330,"[{'name': '2018/2018-06-24_French_Grand_Prix/2018-06-24_Race/_extended_timing_data.ff1pkl', 'bytes': 954926, 'sha256': 'cf19c4ef5f87f1feca7741443b666459059c4e752350b80f5771e79a2428b909'}, {'name': '2018/2018-06-24_French_Grand_Prix/2018-06-24_Race/car_data.ff1pkl', 'bytes': 29894550, 'sha256': '8e00ce65a35755cdbef5410bfe918901e764662f6104a0b36e822be7efb51ec2'}, {'name': '2018/2018-06-24_French_Grand_Prix/2018-06-24_Race/driver_info.ff1pkl', 'bytes': 2300, 'sha256': '1e1406d60ab1357d239e4aa5ad0d11bcc0078cc91df6af88a4ce5215485e4ce0'}, {'name': '2018/2018-06-24_French_Grand_Prix/2018-06-24_Race/lap_count.ff1pkl', 'bytes': 1103, 'sha256': 'c90af65b3c45cd00748e16d64e1f2d8935a36c8b11e4a51c578be0d0c111c064'}, {'name': '2018/2018-06-24_French_Grand_Prix/2018-06-24_Race/position_data.ff1pkl', 'bytes': 18136528, 'sha256': '18bcb1f3d04ae024b8d0785addcfac73d1b75028b09bdbbd0e722bb828507a84'}, {'name': '2018/2018-06-24_French_Grand_Prix/2018-06-24_Race/session_info.ff1pkl', 'bytes': 451, 'sha256': '0ecbdb497d018700417efd7ccfbbb2aeb454ebdde80cec57b9d5fd4a40d34caa'}, {'name': '2018/2018-06-24_French_Grand_Prix/2018-06-24_Race/session_status_data.ff1pkl', 'bytes': 214, 'sha256': '88ef00eff2d9d0147495f2f0b94bffbf58f87191fe2c06dbba867b12bc495acd'}, {'name': '2018/2018-06-24_French_Grand_Prix/2018-06-24_Race/timing_app_data.ff1pkl', 'bytes': 85003, 'sha256': '308cd3cc1d0299f7000be2c86f3e33cbcf2ff71c1635457087d39805dd449c38'}, {'name': '2018/2018-06-24_French_Grand_Prix/2018-06-24_Race/track_status_data.ff1pkl', 'bytes': 479, 'sha256': '4c17796be40f2f0db3438ef122d4c5d773f3be032b4f15b9ce31ef20893a455e'}, {'name': 'fastf1_http_cache.sqlite', 'bytes': 15179776, 'sha256': '2c823e58eb000f0e8cdc302014ddc290db25935da682375e4214b8f760d599be'}]",CLEANED
2018:Austrian Grand Prix:Race,2018,Austrian Grand Prix,Race,FastF1,3.8.3,NEW_DOWNLOAD_EXPECTED,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,approved split row checked before get_session,20,20,[],[],366595,297614,SUCCESS,10,58424867,63a7fa96f3d29ed840c2108f43bb0299974343a62f5af2ad7e756180371a2279,58424867,"[{'name': '2018/2018-07-01_Austrian_Grand_Prix/2018-07-01_Race/_extended_timing_data.ff1pkl', 'bytes': 983663, 'sha256': 'b84e69da4300f2ffaf76f482ed7c10af4675ca58299e407c573fa0b2b61f8b40'}, {'name': '2018/2018-07-01_Austrian_Grand_Prix/2018-07-01_Race/car_data.ff1pkl', 'bytes': 26932630, 'sha256': 'a15227f80c98f994a92b6651e541dd1a17e9d66520ace5f62983318116c6ae72'}, {'name': '2018/2018-07-01_Austrian_Grand_Prix/2018-07-01_Race/driver_info.ff1pkl', 'bytes': 2300, 'sha256': 'a34fa1a8b894bf4f6f2368d1a4d6f3f85c9e0daafdec220f7e3cf6a61a6e6a33'}, {'name': '2018/2018-07-01_Austrian_Grand_Prix/2018-07-01_Race/lap_count.ff1pkl', 'bytes': 1439, 'sha256': 'e4967cd503af9586e7cffffcd519c42ef5a66865fd01ca8b9783f1ff8e8c5f11'}, {'name': '2018/2018-07-01_Austrian_Grand_Prix/2018-07-01_Race/position_data.ff1pkl', 'bytes': 16302448, 'sha256': '65a06ca67df61edb19646dff799d76e3ee02318e3235ed858b2521486f43444c'}, {'name': '2018/2018-07-01_Austrian_Grand_Prix/2018-07-01_Race/session_info.ff1pkl', 'bytes': 451, 'sha256': '6bfbc31cf03609f1eac362291276cc288aae93eb31fc089bb62cc3ac5bdd5a0d'}, {'name': '2018/2018-07-01_Austrian_Grand_Prix/2018-07-01_Race/session_status_data.ff1pkl', 'bytes': 216, 'sha256': 'dc322bef9f9025d9b5075b8439311730d59076e57723b1ce57f320cc68cd60bd'}, {'name': '2018/2018-07-01_Austrian_Grand_Prix/2018-07-01_Race/timing_app_data.ff1pkl', 'bytes': 94312, 'sha256': 'b591e997c3c522ea1d9e8288a2fae2bab3e9fa68fda414a3bc77aefc31adbc73'}, {'name': '2018/2018-07-01_Austrian_Grand_Prix/2018-07-01_Race/track_status_data.ff1pkl', 'bytes': 784, 'sha256': 'f1320b3ecd3130d65b96a6d6b3f6e8d8db0889a17c86c944e705e5bd5d0721e8'}, {'name': 'fastf1_http_cache.sqlite', 'bytes': 14106624, 'sha256': 'd798bbeb50768046607aedbd3d8f46290641ae16551ee215db14599eba7c4e80'}]",CLEANED
2018:British Grand Prix:Race,2018,British Grand Prix,Race,FastF1,3.8.3,NEW_DOWNLOAD_EXPECTED,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,approved split row checked before get_session,20,20,[],[],385086,307994,SUCCESS,10,62147159,d25b54114096807f0391ec59a0ff1dfb280aada22f5b27788c80d9af046d37fc,62147159,"[{'name': '2018/2018-07-08_British_Grand_Prix/2018-07-08_Race/_extended_timing_data.ff1pkl', 'bytes': 908372, 'sha256': '5996a67ea86d3d9ffa3b10d061115f0453e0225b8db925d9b5d5036c19a60c16'}, {'name': '2018/2018-07-08_British_Grand_Prix/2018-07-08_Race/car_data.ff1pkl', 'bytes': 29291530, 'sha256': '781455a85c496b053b0ef8a24bce3bb41dee7be4cc6bbd6ab85dc3677b4172b2'}, {'name': '2018/2018-07-08_British_Grand_Prix/2018-07-08_Race/driver_info.ff1pkl', 'bytes': 2300, 'sha256': 'ad13a9e39dc1442824467a552d5d094b8110b30e5080119cf5e7bbfeba91138b'}, {'name': '2018/2018-07-08_British_Grand_Prix/2018-07-08_Race/lap_count.ff1pkl', 'bytes': 1086, 'sha256': '1a475edc297d09892282ec416768ff95dd4a2d45a5aafaaf9f877c463b0d1b88'}, {'name': '2018/2018-07-08_British_Grand_Prix/2018-07-08_Race/position_data.ff1pkl', 'bytes': 17502848, 'sha256': 'c9323f9743b36c9055f172b4fc6e996a99742c97f84dce032666f8dfc538f6fd'}, {'name': '2018/2018-07-08_British_Grand_Prix/2018-07-08_Race/session_info.ff1pkl', 'bytes': 459, 'sha256': '980fb01a9be5fa2a473a86108dd0eeb394ada94057332b068afcc57b26321da0'}, {'name': '2018/2018-07-08_British_Grand_Prix/2018-07-08_Race/session_status_data.ff1pkl', 'bytes': 216, 'sha256': '3b3271d674f46c09f8021a40155d01cb6a589cc718b3885303e3bc79c1c99099'}, {'name': '2018/2018-07-08_British_Grand_Prix/2018-07-08_Race/timing_app_data.ff1pkl', 'bytes': 70858, 'sha256': '291ad752cb58d222310552b6c81654daf294f7f53306cfc8fae15520963d40b9'}, {'name': '2018/2018-07-08_British_Grand_Prix/2018-07-08_Race/track_status_data.ff1pkl', 'bytes': 722, 'sha256': '9930bc765d4737a7cfb73ad25ac3ec966c7711f53fab0fe5df848f654a175a52'}, {'name': 'fastf1_http_cache.sqlite', 'bytes': 14368768, 'sha256': '9a855a522637ddcad9a6b2cf254b063223337b89c25664f557b7f76bec3359af'}]",CLEANED
2018:German Grand Prix:Race,2018,German Grand Prix,Race,FastF1,3.8.3,NEW_DOWNLOAD_EXPECTED,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,approved split row checked before get_session,20,20,[],[],439177,351162,SUCCESS,10,66581183,77c8916f2249ded6239fa7955c49ad20754daef4604995c137fd8f7ccc8714aa,66581183,"[{'name': '2018/2018-07-22_German_Grand_Prix/2018-07-22_Race/_extended_timing_data.ff1pkl', 'bytes': 1110574, 'sha256': 'fd2bc61e6f61314f5078ad16519d9493965844957b94115552fd50886f5cb2f2'}, {'name': '2018/2018-07-22_German_Grand_Prix/2018-07-22_Race/car_data.ff1pkl', 'bytes': 30849210, 'sha256': 'ed5a508cb6a7ccebe8de5d96039c43223e81bf2585c9f3fdc95876f68de2bc15'}, {'name': '2018/2018-07-22_German_Grand_Prix/2018-07-22_Race/driver_info.ff1pkl', 'bytes': 2300, 'sha256': 'f34bb972b2ca00f1b386fe49d218e4d0cb8dbfdc3377136dbb5c8ad1c5addce4'}, {'name': '2018/2018-07-22_German_Grand_Prix/2018-07-22_Race/lap_count.ff1pkl', 'bytes': 1369, 'sha256': 'ff0d034fa59236428bf730f7cad215f7f56674f2262042d3fe0ca6a0feabdbaf'}, {'name': '2018/2018-07-22_German_Grand_Prix/2018-07-22_Race/position_data.ff1pkl', 'bytes': 18402288, 'sha256': 'cd7abad03bb8bf2a0def86c78e09f443237c388b3defa564e92d71e584efe122'}, {'name': '2018/2018-07-22_German_Grand_Prix/2018-07-22_Race/session_info.ff1pkl', 'bytes': 449, 'sha256': 'b1b9fa72798dc452bd3a9d147e1ea20eae2cf951610fd96941442330a51f9d73'}, {'name': '2018/2018-07-22_German_Grand_Prix/2018-07-22_Race/session_status_data.ff1pkl', 'bytes': 216, 'sha256': '079fc374d875352c1a97c1076c84b0d6b81e9ee488867232361e52f2a3728fcd'}, {'name': '2018/2018-07-22_German_Grand_Prix/2018-07-22_Race/timing_app_data.ff1pkl', 'bytes': 104738, 'sha256': '8efeb3e56a7738f7dd4e9b6f21ee15a154bc6c17897e9f0be14be8276d4f3541'}, {'name': '2018/2018-07-22_German_Grand_Prix/2018-07-22_Race/track_status_data.ff1pkl', 'bytes': 471, 'sha256': 'b4478291457756b3679a2d33fd04c595890c40b14d659bdb2f95114981d69e6a'}, {'name': 'fastf1_http_cache.sqlite', 'bytes': 16109568, 'sha256': '79f751f017a0d346d06e23b4237b4684859091945ab525192c7dbc79e0b73105'}]",CLEANED
2018:Hungarian Grand Prix:Race,2018,Hungarian Grand Prix,Race,FastF1,3.8.3,NEW_DOWNLOAD_EXPECTED,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,approved split row checked before get_session,20,20,[],[],441752,353489,SUCCESS,10,68487500,7423ff0eedc9370103f326cf71042cf2b6a0c1f815bd2e94cb8489470d2e5592,68487500,"[{'name': '2018/2018-07-29_Hungarian_Grand_Prix/2018-07-29_Race/_extended_timing_data.ff1pkl', 'bytes': 992286, 'sha256': '4f7d9873288f9e80421ea0c87088eb8df3ae56812b033fc590afd3e3a6909512'}, {'name': '2018/2018-07-29_Hungarian_Grand_Prix/2018-07-29_Race/car_data.ff1pkl', 'bytes': 31943110, 'sha256': '8ecc6576a19430e8561955b50a42518c7e1654005437cbb738ee09af3cdb6f63'}, {'name': '2018/2018-07-29_Hungarian_Grand_Prix/2018-07-29_Race/driver_info.ff1pkl', 'bytes': 2300, 'sha256': 'd9428f6565712777c4242d158684c883e642b9a1dbf4da30339e0cc1bbd52132'}, {'name': '2018/2018-07-29_Hungarian_Grand_Prix/2018-07-29_Race/lap_count.ff1pkl', 'bytes': 1432, 'sha256': 'c03cef5fd532d07a172203b6547bc664e9061a789e71bb533882d63cf35ba185'}, {'name': '2018/2018-07-29_Hungarian_Grand_Prix/2018-07-29_Race/position_data.ff1pkl', 'bytes': 19079088, 'sha256': '8f58ec5e31783b2277ad6031a90485536ee4aa4e010e90e0c274a6be05bdde5e'}, {'name': '2018/2018-07-29_Hungarian_Grand_Prix/2018-07-29_Race/session_info.ff1pkl', 'bytes': 454, 'sha256': '172d5f207f728db112c40557790ebfd19e275d41d2fe974d95c960546df4ea89'}, {'name': '2018/2018-07-29_Hungarian_Grand_Prix/2018-07-29_Race/session_status_data.ff1pkl', 'bytes': 216, 'sha256': '228feacc9ebcdddf46a26049a69a1d2350c289dde9001632f695f9e8a2db287f'}, {'name': '2018/2018-07-29_Hungarian_Grand_Prix/2018-07-29_Race/timing_app_data.ff1pkl', 'bytes': 100658, 'sha256': 'deee29f10949bbf5fd4a325174b4cff36cfd1e8f83b51c41254710e7960e13ff'}, {'name': '2018/2018-07-29_Hungarian_Grand_Prix/2018-07-29_Race/track_status_data.ff1pkl', 'bytes': 340, 'sha256': 'ad959b1a38a107038819182f349237b4ae57c4029862fe03e73886eaf14b2342'}, {'name': 'fastf1_http_cache.sqlite', 'bytes': 16367616, 'sha256': '499d42c6d1354a48484c80a244da3bc797b05be0ad81025ade378a6a2e7484aa'}]",CLEANED
