race_id,year,event,session,chronology_rank,chronology_basis,chronology_epoch_utc,split,anchor_status,prior_project_influence,holdout_excluded_before_fetch
2018:Chinese Grand Prix:Race,2018,Chinese Grand Prix,Race,1,minimum laptimes.lSD lap-start UTC observed for race,2018-04-15T06:13:36.058000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2018:Azerbaijan Grand Prix:Race,2018,Azerbaijan Grand Prix,Race,2,minimum laptimes.lSD lap-start UTC observed for race,2018-04-29T12:13:42.330000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2018:Canadian Grand Prix:Race,2018,Canadian Grand Prix,Race,3,minimum laptimes.lSD lap-start UTC observed for race,2018-06-10T18:12:56.924000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2018:French Grand Prix:Race,2018,French Grand Prix,Race,4,minimum laptimes.lSD lap-start UTC observed for race,2018-06-24T14:13:26.509000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2018:Austrian Grand Prix:Race,2018,Austrian Grand Prix,Race,5,minimum laptimes.lSD lap-start UTC observed for race,2018-07-01T13:12:43.611000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2018:British Grand Prix:Race,2018,British Grand Prix,Race,6,minimum laptimes.lSD lap-start UTC observed for race,2018-07-08T13:13:17.555000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2018:German Grand Prix:Race,2018,German Grand Prix,Race,7,minimum laptimes.lSD lap-start UTC observed for race,2018-07-22T13:13:03.619000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2018:Hungarian Grand Prix:Race,2018,Hungarian Grand Prix,Race,8,minimum laptimes.lSD lap-start UTC observed for race,2018-07-29T13:12:57.363000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2018:Belgian Grand Prix:Race,2018,Belgian Grand Prix,Race,9,minimum laptimes.lSD lap-start UTC observed for race,2018-08-26T13:13:34.188000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2018:Japanese Grand Prix:Race,2018,Japanese Grand Prix,Race,11,minimum laptimes.lSD lap-start UTC observed for race,2018-10-07T05:13:32.001000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2018:Mexican Grand Prix:Race,2018,Mexican Grand Prix,Race,12,minimum laptimes.lSD lap-start UTC observed for race,2018-10-28T19:12:58.805000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
2018:Brazilian Grand Prix:Race,2018,Brazilian Grand Prix,Race,13,minimum laptimes.lSD lap-start UTC observed for race,2018-11-11T17:13:23.410000+00:00,train,VERIFIED_PHASE2_RACE_OFFSET,UNKNOWN_FROM_SUPPLIED_RECORDS,True
