year,event,session,rcm_index,source_time_utc,category,message,status,flag,scope,sector,driver_number,lap,scope_key,state_group,transition,state_after_scope,source_url,source_sha256
2018,Abu Dhabi Grand Prix,Race,0,2018-11-25T12:54:58+00:00,Other,RISK OF RAIN FOR THIS SESSION IS 40%,,,,,,1,OTHER,,OBSERVE,GREEN,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,1,2018-11-25T13:07:13+00:00,Drs,DRS DISABLED,DISABLED,,,,,1,GLOBAL,DRS,CLEAR,GREEN,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,2,2018-11-25T13:13:34+00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1,GLOBAL,YELLOW,CLEAR_ALL,GREEN,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,3,2018-11-25T13:14:34+00:00,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,1,SECTOR:8.0,YELLOW,ACTIVATE,YELLOW,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,4,2018-11-25T13:14:38+00:00,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1,GLOBAL,SAFETY_CAR,ACTIVATE,SAFETY_CAR,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,5,2018-11-25T13:19:05+00:00,Other,TURN 9 INCIDENT INVOLVING CARS 27 (HUL) AND 8 (GRO) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,3,OTHER,,OBSERVE,GREEN,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,6,2018-11-25T13:20:37+00:00,Other,TURN 9 INCIDENT INVOLVING CARS 27 (HUL) AND 8 (GRO) - NO FURTHER ACTION,,,,,,3,OTHER,,OBSERVE,GREEN,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,7,2018-11-25T13:21:43+00:00,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,4,SECTOR:8.0,YELLOW,CLEAR_ALL,GREEN,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,8,2018-11-25T13:22:17+00:00,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,4,GLOBAL,SAFETY_CAR,OBSERVE,SAFETY_CAR,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,9,2018-11-25T13:23:26+00:00,Other,TURN 9 INCIDENT INVOLVING CARS 55 (SAI) AND 9 (ERI) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,4,OTHER,,OBSERVE,GREEN,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,10,2018-11-25T13:23:48+00:00,Flag,TRACK CLEAR,,CLEAR,Track,,,4,GLOBAL,YELLOW,CLEAR_ALL,GREEN,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,11,2018-11-25T13:24:23+00:00,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 19,,,,,,5,OTHER,,OBSERVE,GREEN,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,12,2018-11-25T13:24:25+00:00,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,5,SECTOR:19.0,YELLOW,CLEAR_ALL,GREEN,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,13,2018-11-25T13:27:28+00:00,Drs,DRS ENABLED,ENABLED,,,,,7,GLOBAL,DRS,ACTIVATE,GREEN,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,14,2018-11-25T13:27:52+00:00,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,,7,SECTOR:20.0,YELLOW,ACTIVATE,YELLOW,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
2018,Abu Dhabi Grand Prix,Race,15,2018-11-25T13:28:02+00:00,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,7,SECTOR:20.0,YELLOW,ACTIVATE,YELLOW,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/rcm.json,a6eeb3452303a8da950dbd344584d4a193d903f4184fd1871f282c37fcd108ab
