race_id,split,year,event,session,car_rows,position_rows,car_unique_drivers,position_unique_drivers,car_driver_race_entries,position_driver_race_entries,car_laps_covered,position_laps_covered,car_driver_hours,position_driver_hours,car_gap_count_over_5s,car_gap_seconds_over_5s,position_gap_count_over_5s,position_gap_seconds_over_5s,car_duplicate_timestamps,position_duplicate_timestamps,car_nonmonotonic_timestamps,position_nonmonotonic_timestamps,car_timestamp_status,position_timestamp_status
2018:Abu Dhabi Grand Prix:Race,train,2018,Abu Dhabi Grand Prix,Race,438984,353374,20,20,20,20,55,55,29.154449166666666,29.153379722222223,0,0,0,0,0,0,0,0,PASS,PASS
2018:Austrian Grand Prix:Race,train,2018,Austrian Grand Prix,Race,366595,297614,20,20,20,20,71,71,24.55596166666667,24.555882222222223,0,0,0,0,0,0,0,0,PASS,PASS
2018:Azerbaijan Grand Prix:Race,train,2018,Azerbaijan Grand Prix,Race,427514,348130,20,20,20,20,51,51,28.72493916666667,28.723529166666665,0,0,0,0,0,0,0,0,PASS,PASS
2018:Belgian Grand Prix:Race,train,2018,Belgian Grand Prix,Race,334113,273116,20,20,20,20,44,44,22.531744722222225,22.532632500000002,0,0,0,0,0,0,0,0,PASS,PASS
2018:Brazilian Grand Prix:Race,train,2018,Brazilian Grand Prix,Race,414062,332439,20,20,20,20,71,71,27.426511666666666,27.426103055555554,0,0,0,0,0,0,0,0,PASS,PASS
2018:British Grand Prix:Race,train,2018,British Grand Prix,Race,385086,307994,20,20,20,20,52,52,25.411936666666666,25.412009166666667,0,0,0,0,0,0,0,0,PASS,PASS
2018:Canadian Grand Prix:Race,train,2018,Canadian Grand Prix,Race,399509,326210,20,20,20,20,70,70,26.916333611111114,26.9150325,0,0,0,0,0,0,0,0,PASS,PASS
2018:Chinese Grand Prix:Race,train,2018,Chinese Grand Prix,Race,475304,387297,20,20,20,20,56,56,31.95659527777778,31.95565611111111,0,0,0,0,0,0,0,0,PASS,PASS
2018:French Grand Prix:Race,train,2018,French Grand Prix,Race,396139,322496,20,20,20,20,53,53,26.611630277777778,26.61236388888889,0,0,0,0,0,0,0,0,PASS,PASS
2018:German Grand Prix:Race,train,2018,German Grand Prix,Race,439177,351162,20,20,20,20,67,67,28.975778888888886,28.975600277777776,0,0,0,0,0,0,0,0,PASS,PASS
2018:Hungarian Grand Prix:Race,train,2018,Hungarian Grand Prix,Race,441752,353489,20,20,20,20,70,70,29.166370833333332,29.166155833333335,0,0,0,0,0,0,0,0,PASS,PASS
