race_id,proposed_split,windows,car_asof_within_1s,car_unmatched,position_asof_within_1s,position_unmatched,both_streams_asof,car_only_missing,position_only_missing,both_missing,tolerance_sec,join_rule
2018:Abu Dhabi Grand Prix:Race,development_train,943,877,66,877,66,877,0,0,66,1.0,latest sample at or before decision time; no interpolation
2018:Austrian Grand Prix:Race,development_train,1244,1178,66,1178,66,1178,0,0,66,1.0,latest sample at or before decision time; no interpolation
2018:Azerbaijan Grand Prix:Race,development_train,848,758,90,758,90,758,0,0,90,1.0,latest sample at or before decision time; no interpolation
2018:Belgian Grand Prix:Race,development_train,693,632,61,632,61,632,0,0,61,1.0,latest sample at or before decision time; no interpolation
2018:Brazilian Grand Prix:Race,development_train,1318,1219,99,1219,99,1219,0,0,99,1.0,latest sample at or before decision time; no interpolation
2018:British Grand Prix:Race,development_train,902,826,76,826,76,826,0,0,76,1.0,latest sample at or before decision time; no interpolation
2018:Canadian Grand Prix:Race,development_train,1219,1166,53,1166,53,1166,0,0,53,1.0,latest sample at or before decision time; no interpolation
2018:Chinese Grand Prix:Race,development_train,1115,1005,110,1005,110,1005,0,0,110,1.0,latest sample at or before decision time; no interpolation
2018:French Grand Prix:Race,development_train,920,840,80,840,80,840,0,0,80,1.0,latest sample at or before decision time; no interpolation
2018:German Grand Prix:Race,development_train,1252,1131,121,1131,121,1131,0,0,121,1.0,latest sample at or before decision time; no interpolation
2018:Hungarian Grand Prix:Race,development_train,1233,1169,64,1169,64,1169,0,0,64,1.0,latest sample at or before decision time; no interpolation
2018:Japanese Grand Prix:Race,development_train,977,886,91,886,91,886,0,0,91,1.0,latest sample at or before decision time; no interpolation
2018:Mexican Grand Prix:Race,development_train,1245,1156,89,1156,89,1156,0,0,89,1.0,latest sample at or before decision time; no interpolation
2019:Abu Dhabi Grand Prix:Race,development_validation,1075,993,82,993,82,993,0,0,82,1.0,latest sample at or before decision time; no interpolation
2019:Australian Grand Prix:Race,development_train,1041,991,50,991,50,991,0,0,50,1.0,latest sample at or before decision time; no interpolation
2019:Austrian Grand Prix:Race,development_train,1401,1316,85,1316,85,1316,0,0,85,1.0,latest sample at or before decision time; no interpolation
2019:Azerbaijan Grand Prix:Race,development_train,948,854,94,854,94,854,0,0,94,1.0,latest sample at or before decision time; no interpolation
2019:Bahrain Grand Prix:Race,development_train,1083,965,118,965,118,965,0,0,118,1.0,latest sample at or before decision time; no interpolation
2019:Belgian Grand Prix:Race,development_train,787,690,97,690,97,690,0,0,97,1.0,latest sample at or before decision time; no interpolation
2019:Brazilian Grand Prix:Race,development_train,1385,1268,117,1268,117,1268,0,0,117,1.0,latest sample at or before decision time; no interpolation
2019:British Grand Prix:Race,development_train,914,846,68,846,68,846,0,0,68,1.0,latest sample at or before decision time; no interpolation
2019:Canadian Grand Prix:Race,development_train,1312,1237,75,1239,73,1237,2,0,73,1.0,latest sample at or before decision time; no interpolation
2019:Chinese Grand Prix:Race,development_train,1046,957,89,957,89,957,0,0,89,1.0,latest sample at or before decision time; no interpolation
2019:French Grand Prix:Race,development_train,1037,970,67,970,67,970,0,0,67,1.0,latest sample at or before decision time; no interpolation
2019:German Grand Prix:Race,development_train,1059,939,120,939,120,939,0,0,120,1.0,latest sample at or before decision time; no interpolation
2019:Hungarian Grand Prix:Race,development_train,1358,1281,77,1281,77,1281,0,0,77,1.0,latest sample at or before decision time; no interpolation
2019:Italian Grand Prix:Race,development_train,991,897,94,897,94,897,0,0,94,1.0,latest sample at or before decision time; no interpolation
2020:70th Anniversary Grand Prix:Race,development_validation,1025,944,81,944,81,944,0,0,81,1.0,latest sample at or before decision time; no interpolation
2020:Bahrain Grand Prix:Race,development_test,1019,911,108,911,108,911,0,0,108,1.0,latest sample at or before decision time; no interpolation
2020:Eifel Grand Prix:Race,development_test,1019,934,85,934,85,934,0,0,85,1.0,latest sample at or before decision time; no interpolation
2020:Emilia Romagna Grand Prix:Race,development_test,1131,1069,62,1069,62,1069,0,0,62,1.0,latest sample at or before decision time; no interpolation
2020:Hungarian Grand Prix:Race,development_validation,1327,1233,94,1233,94,1233,0,0,94,1.0,latest sample at or before decision time; no interpolation
2020:Italian Grand Prix:Race,development_validation,926,846,80,846,80,846,0,0,80,1.0,latest sample at or before decision time; no interpolation
2020:Portuguese Grand Prix:Race,development_test,1288,1179,109,1179,109,1179,0,0,109,1.0,latest sample at or before decision time; no interpolation
2020:Russian Grand Prix:Race,development_validation,948,874,74,874,74,874,0,0,74,1.0,latest sample at or before decision time; no interpolation
2020:Sakhir Grand Prix:Race,development_test,1534,1439,95,1439,95,1439,0,0,95,1.0,latest sample at or before decision time; no interpolation
2020:Spanish Grand Prix:Race,development_validation,1274,1182,92,1182,92,1182,0,0,92,1.0,latest sample at or before decision time; no interpolation
