event_key,event_key_type,race_id,candidate_classification,window_count,verified_on_track_pass,review_status
2018:Abu Dhabi Grand Prix:Race|ALO|SIR|31|32,INHERITED_CANDIDATE_ID,2018:Abu Dhabi Grand Prix:Race,UNRESOLVED,1,FALSE,AUTOMATED_REVIEW_UNREVIEWED
2018:Abu Dhabi Grand Prix:Race|ERI|RAI|6|7,INHERITED_CANDIDATE_ID,2018:Abu Dhabi Grand Prix:Race,UNRESOLVED,1,FALSE,AUTOMATED_REVIEW_UNREVIEWED
2018:Abu Dhabi Grand Prix:Race|GAS|HAR|32|33,INHERITED_CANDIDATE_ID,2018:Abu Dhabi Grand Prix:Race,UNRESOLVED,1,FALSE,AUTOMATED_REVIEW_UNREVIEWED
2018:Abu Dhabi Grand Prix:Race|GAS|SIR|30|31,INHERITED_CANDIDATE_ID,2018:Abu Dhabi Grand Prix:Race,UNRESOLVED,1,FALSE,AUTOMATED_REVIEW_UNREVIEWED
2018:Abu Dhabi Grand Prix:Race|GAS|VAN|34|35,INHERITED_CANDIDATE_ID,2018:Abu Dhabi Grand Prix:Race,OTHER_POSITION_CHANGE,1,FALSE,AUTOMATED_REVIEW_UNREVIEWED
2018:Abu Dhabi Grand Prix:Race|GRO|SIR|10|11,INHERITED_CANDIDATE_ID,2018:Abu Dhabi Grand Prix:Race,UNRESOLVED,1,FALSE,AUTOMATED_REVIEW_UNREVIEWED
2018:Abu Dhabi Grand Prix:Race|GRO|VAN|31|32,INHERITED_CANDIDATE_ID,2018:Abu Dhabi Grand Prix:Race,UNRESOLVED,1,FALSE,AUTOMATED_REVIEW_UNREVIEWED
2018:Abu Dhabi Grand Prix:Race|HAR|SIR|24|25,INHERITED_CANDIDATE_ID,2018:Abu Dhabi Grand Prix:Race,UNRESOLVED,1,FALSE,AUTOMATED_REVIEW_UNREVIEWED
2018:Abu Dhabi Grand Prix:Race|LEC|ALO|25|26,BOUNDARY_PROXY_KEY,2018:Abu Dhabi Grand Prix:Race,OUTSIDE_CANDIDATE_UNIVERSE,1,FALSE,AUTOMATED_PROXY_LINK_UNREVIEWED
2018:Abu Dhabi Grand Prix:Race|LEC|MAG|9|10,INHERITED_CANDIDATE_ID,2018:Abu Dhabi Grand Prix:Race,UNRESOLVED,1,FALSE,AUTOMATED_REVIEW_UNREVIEWED
