model,split,probability_bin,count,mean_predicted_probability,observed_positive_rate,positive_count
constant_train_prevalence,train,0.01-0.02,353,0.019830028328611894,0.019830028328611898,7
logistic_regression_C1,train,0.001-0.005,35,0.0032330083739721223,0.0,0
logistic_regression_C1,train,0.005-0.01,53,0.0076275537841823515,0.0,0
logistic_regression_C1,train,0.01-0.02,67,0.014531698684360408,0.0,0
logistic_regression_C1,train,0.02-0.05,145,0.030862566305472988,0.013793103448275862,2
logistic_regression_C1,train,0.05-0.10,41,0.06962408291054416,0.04878048780487805,2
logistic_regression_C1,train,0.10-0.20,10,0.14466472795738733,0.2,2
logistic_regression_C1,train,0.20-0.50,2,0.3140511675323957,0.5,1
constant_train_prevalence,validation,0.01-0.02,117,0.019830028328611887,0.042735042735042736,5
logistic_regression_C1,validation,0.001-0.005,9,0.003743411326379839,0.0,0
logistic_regression_C1,validation,0.005-0.01,28,0.007324035403685724,0.07142857142857142,2
logistic_regression_C1,validation,0.01-0.02,24,0.01472168592786797,0.0,0
logistic_regression_C1,validation,0.02-0.05,29,0.03002264761111018,0.06896551724137931,2
logistic_regression_C1,validation,0.05-0.10,16,0.06732226058630256,0.0625,1
logistic_regression_C1,validation,0.10-0.20,8,0.1202073838849487,0.0,0
logistic_regression_C1,validation,0.20-0.50,3,0.2998043509520523,0.0,0
constant_train_prevalence,development_test,0.01-0.02,93,0.019830028328611894,0.043010752688172046,4
logistic_regression_C1,development_test,0.001-0.005,2,0.004027947386578505,0.0,0
logistic_regression_C1,development_test,0.01-0.02,6,0.018230366114019528,0.0,0
logistic_regression_C1,development_test,0.02-0.05,37,0.032707395970258665,0.0,0
logistic_regression_C1,development_test,0.05-0.10,28,0.06838331304622138,0.0,0
logistic_regression_C1,development_test,0.10-0.20,10,0.14972143001302257,0.2,2
logistic_regression_C1,development_test,0.20-0.50,10,0.32829104374966345,0.2,2
